pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p204766	-0.00271	-0.00460	-0.00221	-0.00203	0.00282	-0.01327	-0.00849	-0.00113	0.00582	0.00440	0.01470	-0.00991	-0.00550	-0.00677	-0.00266	0.00569	-0.00998	0.00271	-0.00807	-0.00199	-0.00432	0.01264	-0.00902	-0.01411	-0.00148	0.01407	0.01420	-0.01202	0.00007	0.02318	0.00113	0.00702	(Member $x0 region)
p204767	-0.00766	-0.00647	0.00420	-0.02257	0.01835	0.01091	-0.01239	-0.00257	-0.00774	0.00123	-0.00275	0.00108	-0.00390	0.00444	-0.00313	-0.00077	-0.01487	0.01103	0.01276	0.00063	-0.00111	-0.00151	-0.00077	0.01824	0.00686	0.00696	0.01069	-0.00546	-0.01064	-0.01308	-0.00698	0.00038	(Member $x0 river)
p204768	-0.01262	-0.00515	0.00874	0.00741	-0.00111	-0.00014	-0.00241	0.00452	-0.00086	-0.00484	-0.00432	0.01119	0.00744	-0.00634	-0.01631	0.00525	0.00760	-0.01297	-0.00613	0.03005	0.00354	-0.00250	0.00082	0.00787	-0.00466	-0.00210	0.00970	0.00391	-0.01016	-0.00994	0.00769	-0.01496	(Member $x0 sea)
p204769	-0.00040	-0.00050	-0.00383	0.00300	0.00044	-0.00469	0.00344	-0.00312	0.00200	0.00078	0.00028	0.00106	-0.00056	0.00639	-0.00452	-0.00582	-0.00061	-0.00411	-0.00219	-0.00785	-0.00701	-0.00821	0.00147	-0.00637	-0.00416	0.00271	0.00189	0.00154	-0.00151	0.00281	0.00317	0.00035	(Member $x0 ship)
p204770	-0.00584	0.00193	0.00900	-0.01674	0.05391	0.00189	0.00796	-0.00200	-0.01735	0.00547	0.00695	0.00272	-0.00183	0.00517	0.00565	-0.00677	-0.02628	-0.00099	0.00359	0.00568	-0.01088	-0.00489	-0.00954	0.01198	-0.00093	0.01125	0.01423	-0.00578	-0.00388	0.01305	0.00238	-0.01658	(Member $x0 snow)
p204771	0.01462	-0.00720	0.07474	-0.00823	0.01455	0.03438	0.01007	0.07002	0.00391	0.01655	-0.00859	-0.00146	-0.01275	-0.02496	0.03046	-0.02217	-0.01445	0.05289	-0.05011	0.02891	-0.00784	-0.01318	-0.02126	0.04624	0.01609	-0.02908	-0.05173	-0.00749	0.00935	-0.03788	-0.04238	-0.07356	(Member $x0 southern)
p204772	-0.00219	0.00143	-0.01269	-0.00593	-0.01249	0.02367	-0.01315	-0.01738	-0.00740	-0.00574	-0.01881	0.01493	0.00882	-0.01756	-0.00713	-0.00812	0.00463	0.04755	-0.00169	-0.00085	-0.00746	-0.01605	0.01610	0.00252	0.03021	0.00213	0.01275	0.00599	-0.00330	-0.00068	0.00230	0.00057	(Member $x0 store)
p204773	-0.00474	-0.00006	0.01686	-0.00569	0.00704	-0.00378	0.01363	-0.00339	-0.02377	-0.00007	0.00124	-0.00178	-0.00056	-0.00448	-0.00399	0.01081	-0.03066	-0.01219	-0.00070	0.02969	-0.01300	-0.01382	0.00606	0.00909	-0.00037	-0.00157	0.02828	0.02844	-0.00024	-0.00363	0.01467	-0.00095	(Member $x0 sun)
p204774	0.00616	0.01410	-0.00055	-0.00467	-0.00704	-0.01526	0.00012	0.01474	-0.00184	-0.00800	-0.01281	0.00962	0.00689	0.00935	0.01067	-0.00905	-0.00382	-0.00109	0.00483	0.00891	-0.00215	-0.01827	-0.00449	0.00077	-0.00616	-0.00222	0.01095	0.01099	0.01202	-0.00616	0.00876	-0.00182	(Member $x0 system)
p204775	0.01663	0.00854	0.04383	-0.00441	-0.00053	0.00315	-0.00795	0.03530	-0.01259	0.02318	-0.00075	-0.02207	-0.02488	-0.03240	0.00675	-0.01348	-0.02011	0.01313	-0.01296	0.01797	-0.00168	-0.00124	-0.00386	0.03073	0.02593	-0.00872	-0.01576	0.00137	0.02037	-0.00515	0.01906	-0.03658	(Member $x0 view)
p204776	-0.00020	-0.00826	-0.00475	-0.00996	-0.00729	0.01116	-0.00135	-0.00615	-0.00390	0.00175	-0.01453	0.00973	-0.00620	0.00244	0.00321	0.00163	0.00377	0.01597	-0.00637	0.00937	-0.00994	0.00863	0.01334	0.00485	0.01505	-0.00020	0.01297	0.00737	0.00632	0.00213	-0.00197	0.00199	(Member $x0 war)
p204777	0.02893	-0.00989	0.02152	0.01737	0.00281	0.00417	-0.00858	-0.00111	0.02723	-0.00003	0.01139	0.00866	-0.00836	-0.00435	0.00240	0.03074	-0.02566	-0.00752	-0.01742	0.01121	0.01432	0.00791	0.00316	-0.00755	-0.00033	0.00503	0.00900	-0.02850	0.00239	0.02566	-0.00620	-0.02388	(Member $x0 widespread)
p204778	-0.02573	0.01669	0.01689	0.00428	-0.00810	0.00151	0.01796	0.00080	0.00258	-0.00088	-0.00050	0.01251	0.01468	-0.01443	0.00415	-0.00020	-0.00607	-0.00598	-0.01316	-0.02819	-0.00241	0.00144	-0.00371	-0.00616	0.02263	-0.00586	-0.01777	0.02265	0.01329	0.05599	-0.02378	-0.02487	(Member $x0 windshield)
