pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.06614	-0.12624	0.02566	-0.38720	-0.23560	0.74417	-0.12813	-0.22712	0.36912	-0.16158	0.13391	0.40148	-0.13135	0.03076	-0.05405	0.11773	0.05507	-0.26478	0.22952	-0.05440	0.27795	0.02190	-0.14905	-0.12950	-0.06227	-0.04820	-0.15041	0.35628	0.42528	-1.00751	0.59246	-0.72568	0.65073	0.14536	0.08049	0.16242	0.83145	-0.77475	0.52330	0.00995	-0.26607	0.07872	-0.13168	0.16789	-0.86058	0.39733	-0.69841	0.76376	-0.08076	-0.19567	0.20608	-0.05077	-0.25766	-0.17197	0.04105	0.76971	0.36535	0.37704	0.24513	0.47564	0.05596	0.71333	0.41695	0.16199	(Past $e0)
p200009	-0.00162	0.59007	0.05655	0.05647	0.10378	0.02272	0.53866	-0.11281	-0.01860	-0.04044	0.10551	-0.07761	-0.13363	0.08231	-0.09277	0.30673	0.03236	0.05633	-0.05112	-0.09299	-0.14283	-0.12660	0.15231	0.06835	-0.01179	2.17144	-0.08447	0.28167	-0.02215	0.00313	0.08045	-0.08981	0.02151	0.03716	-0.02605	0.12338	-0.03738	-0.13217	-0.04359	-0.00857	-0.08879	0.05361	-0.04199	-0.01931	-0.15102	-0.02156	-0.14133	-0.20162	0.29645	0.00488	-0.07900	0.51266	0.18545	0.00488	-0.01391	-0.02910	-0.09604	-0.00374	0.10770	0.06776	0.11185	0.01241	0.07857	-0.15083	(Agent $e0 $x0)
p200011	0.01617	-0.04581	0.04407	0.00924	0.04673	-0.06064	0.03196	-0.15474	-0.01744	-0.01370	0.04285	0.01543	0.08306	0.03341	-0.03934	0.04382	-0.05658	0.02997	-0.00631	-0.02820	0.00069	-0.00215	-0.13478	0.01932	-0.02344	-0.05374	-0.06084	-0.02398	-0.07666	0.02903	0.05353	0.02664	0.03665	-0.02970	0.05139	0.10763	-0.04668	0.01365	0.01695	2.47198	0.00378	0.18389	0.06473	-0.05238	-0.05743	-0.03349	0.06344	-0.00087	-0.01614	0.03209	0.06910	0.08094	0.04353	-0.07070	0.01759	0.01836	-0.09243	0.13113	0.03869	-0.06494	0.02762	-0.03031	0.03693	-0.00805	(Patient $e0 $x0)
p200012	0.00935	0.00308	0.15516	-0.22576	-0.10502	-0.02378	0.30231	-0.19539	0.49568	-0.02317	0.07556	-0.00090	-0.07512	-0.00142	-0.04081	0.16501	0.48244	0.05578	-1.24535	-0.17796	0.40792	0.02597	-0.21018	-0.14406	-0.04563	-0.06920	0.00973	-0.06209	-0.02992	-0.15929	-0.13257	-0.24271	0.22448	0.04455	0.09495	0.17998	-0.16952	0.23915	-0.03494	-0.02876	-0.12411	0.12981	1.44675	-0.00441	-0.03410	0.10115	0.13197	-0.05469	0.08704	-0.02837	0.02929	0.05743	-0.51676	1.45800	-0.01136	-0.00793	0.08963	-0.07428	0.31379	-0.10381	0.31691	-0.09128	0.04268	0.26009	(Theme $e0 $x0)
p200021	0.03139	0.04322	-0.04374	0.13892	-0.02833	-0.09087	-0.08119	0.00895	-0.03774	-0.07729	0.15898	0.02011	-0.11395	-0.01276	-0.04217	0.03495	0.05412	0.07470	-0.03618	-0.07257	-0.17734	-0.12716	0.02660	0.07868	-0.00385	0.03793	0.03423	2.12363	0.14286	-0.03371	-0.02204	-0.02330	0.08377	0.01171	-0.07416	-0.00950	-0.10999	0.13593	-0.02131	0.00510	-0.10280	0.14728	-0.03905	-0.05058	0.10208	-0.09596	0.14396	0.07944	-0.18396	0.01316	0.06209	-0.00418	-0.08368	-0.02760	0.01065	-0.05151	0.08381	-0.03605	0.03426	0.02770	0.19585	-0.16569	0.00575	0.06832	(And (Agent $e0 $x0) (Past $e0))
p200027	0.02973	-0.02348	-0.03301	0.08610	-0.03516	-0.09567	0.01585	0.01996	-0.02380	-0.05984	-0.08262	-0.16139	-0.04719	0.05580	-0.00482	0.00621	0.09340	0.08939	-0.04093	-0.07025	0.03669	0.04061	0.01581	0.02445	-0.00848	-0.05730	-0.02238	-0.03775	0.07343	0.00847	0.01949	-0.18179	-0.08301	-0.04760	0.02100	-0.02695	-0.11057	-0.02204	-0.00229	0.11231	0.00729	0.10007	-0.02772	-0.09201	-0.03729	-0.06300	-0.05631	-0.10225	0.05937	0.08137	0.03471	0.08731	0.00805	0.01268	-0.03301	-0.10561	0.12727	2.11424	-0.03760	0.07857	0.02467	-0.02189	-0.02451	-0.04048	(And (Past $e0) (Patient $e0 $x0))
p200029	0.01811	0.14371	0.11977	-0.00858	0.22852	-0.04377	-0.05677	-0.17799	-0.01165	-0.01422	-0.01405	-0.20800	-0.16719	0.13161	2.03260	-0.15149	-0.06866	-0.12877	-0.07378	0.06756	-0.01276	0.04969	0.16905	-0.02170	-0.01392	-0.03702	-0.00485	0.01603	-0.19714	0.05233	0.29674	0.08861	-0.03438	0.04515	-0.00238	0.23353	-0.03065	-0.16249	0.06063	-0.04005	0.09194	-0.00555	-0.01094	-0.17319	-0.03821	0.04072	0.01184	0.00651	0.07927	-0.04722	0.08259	-0.13009	0.11760	0.04942	0.00949	0.07544	-0.00296	0.00312	0.18023	-0.02726	0.23950	-0.01137	-0.01401	0.01904	(Ongoing $e0)
p200036	2.24935	0.04362	-0.02651	0.00130	-0.04825	-0.03853	-0.02481	-0.01412	0.03569	0.00746	0.01064	0.00824	-0.03306	0.01085	-0.00377	0.05231	0.06819	0.01716	0.04075	0.00841	0.04635	0.01498	0.03236	0.06144	-0.00616	-0.01161	0.00551	-0.00501	0.02607	0.01369	-0.06433	0.00884	0.00590	-0.04359	0.06244	0.04525	0.08359	0.05842	0.03800	-0.01659	0.02635	-0.04673	-0.02562	-0.00491	0.12854	-0.01319	-0.08172	-0.14083	-0.02819	0.01978	0.04349	-0.02814	-0.00599	-0.02075	0.03562	0.00385	-0.00074	0.01546	-0.00193	-0.00017	0.04863	0.03940	-0.02030	0.02657	(Experiencer $e0 $x0)
p200040	0.01262	0.11581	-0.00353	-0.05608	0.01584	-0.02109	0.03877	0.00748	1.94522	-0.01891	0.00825	-0.03249	-0.00089	0.00641	0.00113	0.08026	-0.03855	-0.05364	-0.02404	-0.02592	0.04139	0.00341	0.04382	0.03577	-0.01067	-0.05632	0.01229	0.02255	0.05491	0.17469	0.08917	0.09436	-0.11500	-0.05841	-0.02840	-0.02207	-0.03770	0.09231	-0.03832	0.00088	-0.00628	-0.01405	0.05401	0.00623	-0.05988	0.00385	-0.02721	0.01012	-0.14032	0.06611	0.00861	-0.08569	0.04947	-0.17113	-0.00293	-0.17715	-0.01174	-0.02921	0.01912	0.00787	-0.09275	-0.03992	0.11940	-0.03543	(And (Past $e0) (Theme $e0 $x0))
p200048	0.01524	0.15685	0.04440	0.03457	0.16969	-0.02830	-0.01437	-0.04681	-0.02078	1.82468	0.11052	-0.15469	-0.04594	0.08184	-0.00062	-0.11081	0.14641	-0.02513	0.08480	-0.00950	0.00170	-0.02738	0.07501	0.20508	-0.01472	-0.00107	-0.12306	-0.02344	0.06448	-0.03514	0.02843	-0.14690	0.19612	-0.07442	0.08960	0.02473	-0.09612	-0.03833	0.05259	0.00146	-0.04422	0.13364	-0.01302	-0.10563	-0.03606	-0.04365	-0.05269	0.09069	-0.04741	0.07297	0.05408	-0.11498	-0.12762	-0.04387	0.00699	-0.05912	-0.02094	-0.09355	0.01878	0.06422	0.15723	0.05365	0.01078	0.03068	(Location $e0 $x0)
p200050	-0.02225	-0.18897	0.13642	0.07862	0.02373	-0.03142	1.72325	-0.02574	-0.12840	0.02238	-0.03196	-0.01653	-0.08081	0.09504	-0.07457	0.04073	0.00202	-0.00161	-0.07237	-0.01219	-0.06675	0.04974	0.00286	0.03108	-0.00469	-0.07300	0.14994	-0.09731	-0.01747	-0.00389	-0.11546	-0.10682	0.09733	-0.00328	-0.00482	0.07407	0.09916	0.01358	-0.00251	-0.02833	-0.03580	0.05114	-0.15057	-0.03923	-0.05571	-0.07208	-0.17587	-0.04405	0.39508	0.03121	-0.06414	0.13993	-0.02938	0.20282	-0.01178	0.09453	-0.04949	-0.00345	0.10974	-0.04899	0.24149	0.08890	-0.01490	-0.30355	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200059	-0.01031	0.01329	-0.01339	-0.00044	0.00566	-0.04186	0.01453	-0.01953	-0.00850	0.00533	-0.01663	0.01157	-0.02771	0.01698	-0.00043	0.01203	0.01705	0.00328	0.01006	-0.00593	0.04258	0.00867	-0.01134	-0.03553	2.29369	0.00013	-0.01920	0.00732	-0.01381	-0.00205	0.02895	-0.02585	0.03278	-0.01660	0.01449	0.01514	0.01729	0.00552	-0.00258	-0.00582	-0.04347	0.02116	-0.01803	-0.02726	-0.02120	-0.00013	0.01769	0.01853	0.01610	0.00913	-0.01943	-0.00478	-0.03896	-0.02670	0.00590	-0.00739	0.01213	0.00959	0.03224	-0.01797	0.02645	-0.01190	0.02785	0.00048	(Member $x0 thing)
p200072	0.02290	0.19446	0.08919	-0.09696	-0.00555	0.07293	0.01534	0.24651	0.02449	0.05222	1.17931	-0.03890	-0.02256	0.09336	0.08107	-0.13040	-0.14590	-0.41250	0.00595	0.25807	0.02060	1.12427	0.12158	-0.29760	0.03120	0.04699	-0.03148	-0.07680	0.03389	-0.16062	0.02868	-0.02529	-0.10215	0.11828	-0.03284	-0.02468	-0.10428	-0.08458	0.27082	0.00816	0.02320	-0.09997	0.03710	-0.14345	0.09408	0.02918	0.12087	-0.17499	0.06985	-0.09753	-0.05139	-0.15490	0.12653	-0.03448	-0.01625	-0.11822	0.19823	0.02610	0.17892	-0.16528	-0.20098	-0.10405	0.05981	-0.04205	(Theme $e0 $e1)
p200079	-0.02863	1.20600	0.04927	-0.06015	-0.04542	0.25693	-0.06560	-0.08813	0.02009	0.01432	-0.14728	0.10766	-0.08486	-0.05514	-0.01723	-0.02435	-0.04865	0.12363	0.10470	-0.23504	-0.02548	-0.01365	0.01039	0.03464	-0.00934	-0.30672	-0.11974	0.02823	-0.08473	-0.19524	-0.17025	0.00765	-0.02340	-0.11212	0.09088	0.02345	0.04001	-0.09039	0.03393	0.13212	0.01001	-0.36786	0.08625	0.05878	0.10416	0.03802	0.06895	-0.12612	0.20932	0.17656	0.00134	1.05776	0.01595	-0.11669	-0.04063	-0.01510	-0.05273	-0.10199	0.10014	-0.08968	-0.10465	0.05668	0.06652	-0.10436	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200081	0.01145	0.06476	-0.04001	-0.13103	0.19488	-0.11823	-0.01124	-0.15610	0.01330	-0.01450	-0.07484	-0.21170	0.41193	0.03841	-0.01897	-0.12150	0.04757	-0.06868	0.07495	0.02595	-0.00177	0.05883	-0.29063	-0.45131	-0.01226	0.00677	-0.07136	-0.00055	-0.03852	0.11121	-0.03327	0.01946	-0.01668	1.79844	0.09094	0.10372	0.02101	0.10392	0.02279	-0.04035	-0.30039	0.15846	-0.04079	-0.10064	0.06914	0.02427	-0.24415	0.07870	-0.07320	1.40144	-0.03228	-0.01733	-0.05739	-0.03434	-0.01967	-0.14790	-0.11128	-0.00629	-0.00972	0.04724	0.08170	0.14915	-0.06552	-0.04424	(LocatedIn $x0 $x1)
p200084	-0.08075	0.12262	-0.21756	0.05093	-0.24901	-0.55886	0.02304	-0.03678	0.02256	0.83768	0.29939	0.32526	-0.08726	-0.42238	-0.16349	-0.17912	-0.05818	0.05699	0.02255	0.02689	-0.13774	-0.18574	0.07808	0.26601	-0.00080	-0.02372	-0.25088	-0.09492	-0.19460	0.11041	0.29908	-0.10809	0.36615	0.02079	0.12616	-0.04898	0.03752	0.16262	0.25512	-0.03386	0.25957	-0.02850	-0.01740	0.41556	0.14551	0.04105	-0.25653	0.27424	-0.24591	-0.03450	0.18151	0.13557	0.04625	0.00814	-0.02937	-0.28719	-0.28581	-0.04438	-0.03141	0.68873	0.67911	0.11140	-0.29577	0.16514	(And (Location $e0 $x0) (Past $e0))
p200086	-0.03519	-0.04337	-0.26317	-0.22471	-0.23441	-0.00392	0.06993	0.06585	0.03345	-0.00887	-0.02012	0.21379	0.50397	-0.31585	0.78537	0.56799	0.33167	0.23975	0.22679	-0.02100	0.36988	-0.22312	-0.36649	0.33746	0.00239	0.34542	-0.25268	-0.21412	0.13176	-0.09791	0.02690	0.00599	-0.01318	0.03177	0.27997	-0.34894	-0.06277	0.21522	-0.05546	-0.00542	-0.19057	0.29840	-0.05073	0.40034	0.10457	0.20028	0.06096	-0.26239	-0.25010	-0.14024	-0.01823	0.28340	-0.37214	-0.15788	-0.02824	-0.13787	0.16111	0.00755	-0.56189	-0.13244	-0.26200	-0.06907	0.20607	0.09003	(And (Agent $e0 $x0) (Ongoing $e0))
p200106	0.01184	0.13253	0.13864	-0.01397	-0.06348	-0.07161	0.01628	-0.20574	-0.05411	-0.05209	0.14035	-0.03750	0.02925	1.18426	-0.06115	0.01808	-0.04206	-0.24193	-0.02739	0.06925	-0.08375	-0.16067	-0.24586	-0.15159	-0.01928	0.00766	-0.18296	-0.05449	-0.03689	-0.09289	-0.00137	-0.01304	-0.06331	-0.03546	0.17778	0.01641	-0.02537	0.03864	0.03399	0.03307	-0.03698	0.07271	0.01871	0.97795	0.00716	-0.02478	0.07216	0.05390	-0.06964	-0.01491	0.03710	-0.10672	0.00611	-0.04055	-0.00655	-0.10526	0.08934	-0.04960	0.03558	-0.07499	-0.02788	-0.06423	0.00526	-0.03879	(Goal $e0 $x0)
p200111	0.00922	-0.17504	-0.02763	0.16655	0.10002	0.07996	0.92194	-0.05979	0.41850	0.02799	-0.07245	-0.14821	-0.19528	0.09210	-0.00827	0.13066	-0.11349	-0.03389	0.21166	0.08709	-0.11505	0.12961	0.11610	0.17200	-0.01930	-0.34060	-0.14610	0.44286	0.17529	-0.06842	-0.01933	0.17056	-0.24399	-0.06066	0.01395	0.02545	0.01509	0.11969	-0.02301	0.00425	0.03086	-0.08351	-0.17060	-0.17235	-0.11078	-0.14404	0.08166	-0.11890	-0.08413	0.07452	0.02565	-0.20060	0.08517	-0.29592	-0.01879	-0.10497	0.01383	0.01908	0.05600	-0.04956	0.03277	-0.04380	0.13629	0.07147	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200115	0.00388	0.08478	0.96760	-0.12493	-0.19634	0.04735	0.01140	0.01293	0.04490	-0.04315	-0.00054	0.20632	-0.14932	0.00731	0.03214	-0.67520	0.06466	1.28170	0.11564	1.33070	-0.11989	-0.30866	-0.11015	-0.19340	-0.01681	0.04838	0.09080	-0.01565	-0.01723	-0.38075	0.06960	-0.09958	0.15721	-0.05109	-0.10797	0.00825	-0.02169	0.02683	0.08081	-0.01542	-0.19110	0.05248	-0.04823	-0.07441	-0.18651	0.16486	0.27126	-0.09123	-0.06161	0.14364	-0.08429	-0.11199	-0.23556	-0.10588	0.00766	-0.02182	0.12287	0.04441	0.10718	-0.11602	0.13800	-0.36104	-0.17146	0.02052	(Cardinality $x0 <num>)
p200121	-0.02684	0.05687	0.10986	-0.10999	-0.27906	0.11534	0.04023	0.18621	-0.10338	-0.03404	0.77816	0.34873	0.14757	0.05213	-0.00184	-0.09133	0.07589	-0.10283	0.09049	-0.07037	0.06343	0.53465	0.05556	-0.22257	-0.02723	-0.06148	-0.09271	-0.02871	0.14778	-0.05982	0.18585	0.18455	-0.17793	0.06364	0.12336	-0.06668	-0.02376	-0.13245	0.35846	-0.02289	0.13026	-0.05088	-0.00818	-0.16728	-0.21875	0.08932	0.09285	-0.05765	0.30823	-0.03418	-0.01271	-0.02738	-0.23221	-0.02962	-0.00391	-0.06248	0.06204	-0.03946	0.12740	-0.13661	-0.06171	-0.12339	-0.11024	-0.15076	(And (Past $e0) (Theme $e0 $e1))
p200124	0.48163	0.11628	-0.23700	-0.32912	0.04022	0.06214	0.10706	-0.23920	-0.17607	-0.11214	0.02456	-0.41437	-0.10176	-0.06212	-0.20254	-0.02893	0.31621	0.00850	0.09916	0.09950	0.46946	-0.09447	0.13371	0.27304	0.02771	-0.01884	0.21322	-0.12863	-0.16978	-0.04795	-0.08936	-0.01032	0.02441	-0.04187	-0.32866	0.10239	1.15000	-0.10873	0.06377	0.04489	0.01023	0.02930	-0.13540	0.12185	0.08791	0.26936	-0.03867	-0.50646	-0.27275	0.05938	-0.09538	-0.01793	-0.18936	-0.04381	-0.09189	-0.13479	0.16500	-0.12825	0.03402	-0.10867	0.44623	0.03606	0.07910	0.28917	(And (Experiencer $e0 $x0) (Past $e0))
p200128	-0.03118	0.87958	0.08701	0.02101	0.06298	0.06876	-0.13381	0.06717	-0.04358	0.05602	-0.05879	-0.11376	0.03394	0.09051	0.01288	-0.18593	0.03997	0.00040	-0.19631	-0.09665	-0.00963	0.05885	0.04248	-0.17853	-0.00464	-0.43665	-0.05886	0.32937	-0.09259	-0.06298	-0.13688	-0.08539	-0.00474	-0.02384	0.04322	0.09553	0.08336	-0.01211	-0.05860	-0.09698	0.00172	-0.04663	-0.10436	-0.17244	0.10937	-0.01284	-0.03934	-0.09549	0.06185	-0.05695	-0.02958	0.75274	-0.07841	0.13403	-0.03934	-0.04994	0.03796	0.25082	0.06342	-0.12317	-0.11996	0.14214	-0.01955	-0.06427	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200132	0.03296	-0.08491	0.09375	1.31827	-0.11383	0.05183	-0.03369	-0.04771	0.00045	0.02878	-0.20722	0.07280	0.11762	0.00218	0.01822	-0.00228	-0.05086	-0.04638	-0.07183	0.02423	-0.42220	0.19403	-0.11048	-0.15235	-0.00309	-0.01611	-0.06193	0.02747	0.06272	-0.03956	-0.12379	-0.17846	0.00982	-0.08926	0.04751	0.03452	-0.05055	0.07269	-0.13463	-0.00682	-0.06773	0.06479	0.00049	-0.01705	0.00727	1.79613	0.02060	-0.04631	0.04040	0.06779	-0.02265	0.02792	0.04032	0.03680	-0.01330	-0.09125	-0.11046	0.03041	-0.01104	-0.09465	0.06994	-0.03246	0.05171	-0.14175	(PartOf $x0 $x1)
p200140	0.00226	0.10887	0.12497	-0.02438	-0.04208	-0.08131	-0.02833	-0.14447	-0.04506	-0.05737	0.10141	-0.00781	0.01934	0.98892	-0.01478	0.05401	0.05874	-0.20971	-0.02010	0.06843	-0.10052	-0.14382	-0.14713	-0.09399	-0.00574	-0.06221	-0.10616	-0.00026	-0.00933	-0.08569	0.08646	0.02377	-0.02895	-0.01849	0.06637	0.05700	-0.06853	-0.00056	-0.05757	-0.05298	-0.01454	0.02915	0.03314	0.85400	-0.12560	0.01233	-0.00015	0.01216	-0.03617	0.00691	0.02521	-0.08570	0.00537	-0.08145	-0.01252	-0.03829	0.07856	0.00110	0.01130	-0.05795	-0.00985	-0.03684	-0.01144	-0.02459	(And (Goal $e0 $x0) (Past $e0))
p200141	-0.20011	-0.27646	-0.10723	0.34667	-0.04474	-0.39228	-0.06885	-0.13643	0.10313	-0.09734	0.35894	0.10096	0.13341	0.09535	0.49080	0.11730	-0.11118	0.42972	-0.01634	-0.22405	-0.20444	-0.12905	-0.02964	-0.06686	-0.00077	-0.05560	-0.16710	0.12985	-0.00838	0.11482	-0.64846	-0.25982	0.24109	0.03436	0.19074	0.33620	0.82208	0.50124	0.15652	-0.03186	0.30308	-0.23951	-0.06086	-0.05882	0.23045	-0.28807	-0.07882	-0.09500	-0.08214	0.01944	0.25400	0.13124	0.10320	0.06183	0.03968	0.04034	-0.18332	0.05400	0.00809	0.46129	-0.32093	0.04061	-0.05099	-0.07575	(And (Ongoing $e0) (Past $e0))
p200149	-0.01166	0.00095	-0.07896	0.12730	0.95270	-0.00838	0.00250	0.08646	-0.00002	0.00601	0.02167	0.77198	0.09172	0.09096	-0.02354	-0.13030	-0.21681	0.01443	-0.14763	0.03113	-0.04965	-0.13941	-0.04784	-0.05911	-0.01172	0.03008	-0.06515	-0.01084	0.16179	-0.16583	-0.01057	0.07392	-0.09735	0.03870	0.02217	-0.11244	0.32754	0.02399	-0.05863	0.04260	0.03751	-0.00976	0.12334	-0.10531	0.12218	-0.09831	-0.10107	0.10057	-0.01795	-0.09573	0.05023	0.08155	0.14332	0.06841	0.01879	-0.10492	-0.02154	-0.09642	-0.10504	-0.13186	-0.05482	0.03751	-0.05600	-0.03069	(Result $e0 $e1)
p200158	-0.05575	-0.04833	-0.09607	-0.20187	0.10234	0.39060	-0.02782	-0.00822	-0.05573	-0.07414	-0.05932	-0.15587	-0.34314	-0.19398	0.48604	-0.07489	-0.20220	-0.20879	0.02717	0.13238	-0.04583	-0.02668	0.25211	-0.13594	-0.01122	-0.09775	0.40853	-0.00320	-0.05555	-0.21159	-0.02038	0.16424	-0.12773	-0.01735	-0.50123	0.04319	-0.21733	-0.30906	-0.19410	0.24772	0.00332	-0.39837	0.06022	0.31843	-0.00645	0.11421	0.12340	0.06569	-0.09766	0.27709	-0.30619	0.00254	0.45235	-0.01697	0.01527	-0.02522	0.03155	-0.16109	0.32241	-0.00678	1.11026	-0.04489	0.24417	0.12195	(And (Ongoing $e0) (Patient $e0 $x0))
p200159	-0.00997	-0.06509	-0.08938	0.08564	-0.02488	0.04653	-0.09280	-0.10705	-0.00841	0.01181	0.07592	-0.00511	0.07719	-0.04880	-0.00078	-0.01700	0.03424	-0.01534	-0.02863	0.00556	-0.06104	-0.03054	-0.06198	-0.13685	-0.01709	-0.01739	-0.02992	0.01769	0.03307	-0.15477	-0.07794	-0.06877	0.02175	-0.06010	0.00317	0.05904	0.00114	0.09835	-0.10183	-0.00480	-0.10806	0.08296	0.01331	0.04423	0.13501	-0.11720	0.02541	0.03022	0.55234	0.04473	0.03365	-0.00152	-0.02259	0.01950	-0.01467	-0.11973	0.07438	0.00691	0.03131	-0.15465	0.03109	-0.00703	0.08543	0.77110	(Member $e0 have)
p200171	-0.00464	-0.06738	-0.08511	0.09700	-0.02713	0.03192	-0.09853	-0.09650	-0.00388	0.01184	0.03816	-0.00773	0.06741	-0.05257	-0.00107	-0.01451	0.03758	-0.01348	-0.03705	0.01208	-0.06575	-0.04522	-0.05656	-0.13366	-0.01491	-0.00572	-0.04154	0.01966	0.03513	-0.14341	-0.07680	-0.05421	0.01374	-0.06325	0.01349	0.04967	0.00937	0.11505	-0.09626	-0.00143	-0.10863	0.08039	0.02125	0.05134	0.12160	-0.12016	0.03445	0.02844	0.52736	0.05376	0.03549	0.00007	-0.02444	0.02585	-0.01339	-0.10674	0.06648	0.00978	0.03683	-0.13800	0.03657	-0.01009	0.08673	0.77222	(And (Member $e0 have) (Theme $e0 $x0))
p200178	0.03686	0.05610	-0.03027	-0.19507	0.12065	-0.20282	-0.02981	1.10536	-0.02235	0.00428	0.01287	-0.18630	-0.06797	-0.27864	-0.02827	-0.28506	-0.07915	-0.19493	-0.10815	0.20938	-0.19940	-0.11189	-0.31688	0.35620	-0.00981	0.02801	-0.38246	0.04793	-0.01232	0.03941	0.04866	0.13106	-0.12343	-0.08181	0.18717	1.41746	-0.04053	0.10134	0.04880	0.02646	-0.20261	0.06790	0.08711	0.25134	-0.15013	0.12152	-0.18997	0.01610	0.05260	0.06857	0.15334	-0.10017	0.06326	0.03847	-0.02333	0.08838	0.17504	-0.04030	-0.36485	-0.30660	-0.12599	0.13938	0.30255	-0.10522	(Future $e0)
p200179	-0.03961	0.18255	-0.33660	0.29243	0.71793	0.00656	0.04427	-0.24055	-0.02277	-0.01032	-0.56089	-0.55535	-0.09040	-0.63321	-0.04489	0.10489	0.00589	1.07735	-0.11865	-0.37402	0.14130	1.19761	-0.11198	0.18106	-0.02073	-0.14081	0.10346	0.06539	-0.04059	0.25858	0.53184	0.24188	-0.11691	-0.09180	0.06977	0.02081	0.04598	-0.28943	-0.09866	-0.03020	-0.16046	0.24330	0.03587	1.00719	-0.47323	-0.22973	-0.31387	-0.17398	0.03564	0.04394	-0.05212	-0.14406	-0.09122	0.01656	0.00004	0.11149	-0.25406	-0.06403	-0.09258	0.03818	-0.08870	0.23244	-0.04762	0.04235	(Possession $x0 $x1)
p200187	0.04700	0.02106	0.08511	0.07238	0.00254	0.02251	-0.01806	0.00813	-0.02579	0.01605	-0.02673	-0.03777	-0.00886	-0.01497	0.00492	0.05012	0.10012	-0.00047	-0.01156	-0.05507	-0.02833	0.00420	-0.01277	-0.10307	-0.00845	0.01074	-0.03179	-0.01108	0.01576	-0.02259	-0.04328	-0.01115	0.02282	-0.01115	0.02849	-0.00612	-0.02952	0.02396	0.06132	0.01346	0.03799	-0.01198	0.00595	0.00754	-0.00536	-0.03677	-0.06261	-0.02141	0.06430	-0.01264	-0.02614	-0.01958	-0.05534	-0.00886	1.62166	0.01241	-0.01354	-0.02251	-0.03480	-0.01553	0.04233	-0.02684	0.01672	-0.05631	(Source $e0 $x0)
p200192	0.06432	0.15159	-0.24089	-0.06609	-0.06869	-0.08106	-0.00514	-0.13521	0.04828	-0.01328	0.00721	0.01180	-0.12182	-0.16091	-0.01349	-0.11479	-0.23567	-0.12825	-0.06577	0.11232	-0.11346	-0.07846	0.17031	0.14743	0.00345	0.02180	1.16411	0.02764	-0.03199	-0.27380	-0.03460	-0.00870	-0.02548	-0.03563	1.43504	0.02548	-0.03166	0.06298	0.03926	0.00199	-0.00621	-0.02241	0.05911	0.14220	0.03498	0.12320	-0.00496	-0.00188	-0.10942	0.11403	-0.48067	-0.19429	0.27823	0.03861	-0.00312	-0.07444	0.40698	0.02771	-0.10863	0.04052	-0.22262	0.01849	-0.03833	0.00254	(GroupOf $x0 person)
p200219	0.02284	0.42959	-0.27546	0.35222	0.15840	0.27111	-0.04108	0.01648	-0.03860	0.09742	0.37534	-0.28917	0.06107	0.15115	0.00911	-0.02124	0.10818	0.00603	-0.02426	0.05150	0.03159	-0.15367	0.01321	0.59053	-0.01770	0.05942	0.08137	-0.10176	0.76022	-0.07428	-0.25946	-0.16064	0.13350	-0.22273	-0.11352	-0.02210	-0.05894	-0.05063	-0.19167	-0.02316	-0.29864	0.71126	-0.01507	-0.17947	-0.17902	-0.23908	0.23930	0.25392	-0.16330	0.33191	-0.20200	-0.30294	-0.17235	0.02534	-0.00408	-0.16991	-0.09772	-0.01412	-0.21462	0.08142	0.08735	-0.20759	-0.10537	0.00784	(And (Agent $e0 $x0) (Location $e0 $x1))
p200232	0.04508	-0.02995	0.78607	0.47975	0.10223	0.43146	-0.01180	-0.08775	-0.01218	-0.05085	0.07013	-0.18221	-0.25177	-0.13388	0.03096	-0.07659	0.29237	-0.14222	-0.13818	-0.05396	-0.39979	-0.07418	-0.07070	0.90998	0.01078	0.02389	-0.10065	-0.00108	0.11650	-0.15138	0.11313	0.03343	-0.16726	0.82653	0.13171	-0.02991	-0.04709	-0.39130	-0.09389	0.06074	1.00131	-0.63018	0.14405	0.13959	-0.18223	-0.30045	-0.03693	0.01744	-0.20910	-0.70832	-0.06889	-0.02602	-0.07506	0.10681	-0.04731	-0.07479	-0.04928	0.00579	-0.21423	-0.05480	-0.23440	0.03495	-0.14306	0.27754	(Obligated $e0)
