pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p204001	-0.00419	-0.00907	0.05933	-0.00356	-0.02078	-0.03591	-0.01652	-0.02858	0.02722	0.00214	-0.01176	0.03392	-0.03927	0.00106	-0.00537	0.11667	-0.00568	-0.01731	0.00210	-0.02553	-0.00067	0.01030	0.06254	0.05618	-0.00540	-0.02842	-0.00796	0.03073	-0.00290	-0.00995	0.03526	0.01897	-0.01212	-0.03475	-0.00708	0.04062	0.00810	-0.02884	-0.04002	-0.01164	-0.00475	0.01316	-0.00469	-0.04841	-0.02719	-0.00626	-0.02977	-0.03892	0.05031	0.05967	0.00029	-0.03896	-0.00741	0.00200	-0.00995	-0.02406	0.02709	0.00057	0.02004	-0.03295	0.01991	0.01791	-0.00712	-0.03273	(And (Member $e0 hold_up) (Past $e0))
p204002	0.00236	-0.02788	-0.01280	0.00015	-0.02854	-0.00062	0.00132	0.00862	0.00595	-0.01925	0.00043	-0.00211	-0.00642	0.02446	0.00412	-0.00182	0.02139	0.00570	-0.00057	-0.01656	-0.00116	0.00203	0.00209	-0.00621	-0.00357	0.01655	-0.00169	-0.01435	0.00826	0.00656	0.00218	-0.02606	-0.01928	0.02039	-0.00428	-0.00164	-0.02147	0.00052	0.01561	0.00966	-0.01429	0.03383	0.00408	-0.03046	-0.00142	-0.01205	-0.01915	-0.00101	-0.02012	0.04098	0.00366	-0.02332	-0.02842	-0.02133	-0.01042	0.00658	-0.01767	0.06076	-0.03149	-0.01303	0.02046	0.02134	-0.01624	0.01512	(And (Member $e0 increase) (Past $e0))
p204003	0.00229	-0.02791	-0.01284	0.00012	-0.02864	-0.00073	0.00125	0.00855	0.00589	-0.01932	0.00035	-0.00216	-0.00648	0.02437	0.00405	-0.00188	0.02131	0.00563	-0.00061	-0.01663	-0.00124	0.00197	0.00199	-0.00632	-0.00363	0.01647	-0.00175	-0.01443	0.00817	0.00648	0.00210	-0.02614	-0.01936	0.02032	-0.00435	-0.00169	-0.02153	0.00048	0.01553	0.00957	-0.01435	0.03379	0.00401	-0.03050	-0.00147	-0.01215	-0.01922	-0.00111	-0.02021	0.04091	0.00360	-0.02342	-0.02848	-0.02142	-0.01047	0.00651	-0.01773	0.06069	-0.03155	-0.01313	0.02039	0.02127	-0.01631	0.01505	(And (Member $e0 increase) (Patient $e0 $x0))
p204004	0.02775	-0.00166	-0.03406	-0.03921	0.09410	-0.03566	0.01123	-0.00911	0.00134	-0.00547	0.05603	0.10479	-0.02832	-0.05309	-0.00169	-0.01645	-0.00053	-0.04005	-0.00763	0.01101	-0.03297	-0.05203	-0.04110	-0.04605	-0.00193	-0.01319	0.03509	-0.00325	-0.09152	-0.01399	0.03802	-0.05088	0.09932	-0.04757	-0.02974	-0.02244	-0.05923	-0.00156	-0.05088	-0.01636	0.15624	0.07709	-0.01632	0.04931	-0.04873	-0.00923	0.17438	-0.03460	0.00969	0.09630	-0.03249	0.01663	-0.07042	-0.01884	-0.00513	0.06067	-0.01140	-0.00221	0.03891	0.00633	-0.03174	-0.00709	0.09879	-0.01405	(And (Member $e0 leave) (Patient $e0 $x0))
p204005	0.02775	-0.00166	-0.03406	-0.03921	0.09410	-0.03566	0.01123	-0.00911	0.00134	-0.00547	0.05603	0.10479	-0.02832	-0.05309	-0.00169	-0.01645	-0.00053	-0.04005	-0.00763	0.01101	-0.03298	-0.05203	-0.04110	-0.04605	-0.00193	-0.01319	0.03509	-0.00325	-0.09152	-0.01399	0.03803	-0.05088	0.09932	-0.04758	-0.02974	-0.02244	-0.05923	-0.00156	-0.05088	-0.01636	0.15624	0.07709	-0.01632	0.04931	-0.04873	-0.00923	0.17438	-0.03460	0.00969	0.09630	-0.03249	0.01663	-0.07042	-0.01884	-0.00513	0.06067	-0.01140	-0.00221	0.03891	0.00633	-0.03174	-0.00709	0.09880	-0.01405	(And (Member $e0 leave) (Result $e0 $e1))
p204006	0.00583	0.01553	-0.00704	-0.02764	-0.03542	-0.04775	0.00597	0.04503	0.03086	0.01534	-0.00707	0.06183	0.02383	-0.04357	0.02572	-0.00908	0.04842	-0.01884	-0.01254	-0.00438	-0.00381	-0.00629	-0.02590	-0.02368	-0.00235	0.00932	-0.02864	-0.02954	-0.04135	-0.00749	0.04996	-0.03934	0.07031	-0.02519	0.03632	-0.04388	-0.04384	-0.00725	0.00391	0.00071	0.02093	0.00575	0.00382	0.04295	0.01440	0.00756	-0.02934	-0.02235	-0.00506	0.02617	-0.00392	0.02068	-0.03252	0.00699	-0.00140	-0.01118	-0.00410	-0.01452	-0.00571	0.01069	-0.02141	0.03110	-0.01720	-0.01357	(And (Member $e0 leave) (Theme $e0 $x0))
p204007	0.00219	-0.01779	-0.00694	0.00206	-0.00217	-0.00835	0.00057	-0.00279	0.03251	-0.00841	-0.00311	-0.01161	-0.00668	0.01169	0.00143	0.00243	0.00273	-0.00324	0.00186	-0.00364	-0.00130	0.00704	0.00366	-0.00238	0.03278	0.00164	-0.01079	0.00302	0.00345	-0.00858	-0.00873	-0.00757	-0.00683	-0.01093	-0.00076	0.00070	-0.01711	-0.01282	0.00296	0.00142	-0.01081	0.00770	0.00211	-0.02197	-0.01831	-0.00772	-0.00362	-0.01032	-0.00859	0.01072	0.00345	-0.00601	-0.00441	-0.00992	-0.01104	0.00450	-0.00083	0.01682	0.00270	-0.00271	0.02263	0.00638	0.00351	0.00124	(And (Member $e0 pick_up) (Past $e0))
p204008	-0.01284	-0.12963	-0.10163	0.00852	0.04014	0.02952	-0.01589	-0.04023	0.00209	0.00395	-0.02406	-0.01973	0.00122	0.00662	0.00971	0.09330	0.06711	-0.04892	0.00487	0.13781	-0.03360	-0.03490	0.13386	0.05752	0.00254	-0.01806	-0.04611	-0.02437	0.06830	0.10651	0.08030	-0.01319	-0.02436	0.10202	0.07225	0.01491	-0.01151	-0.05355	-0.00707	-0.01598	-0.08085	0.10114	-0.01336	-0.00949	-0.08702	0.03827	0.05678	-0.07196	-0.02175	-0.11323	0.00703	0.18071	-0.04762	-0.01555	0.00206	-0.04613	-0.05195	-0.00026	-0.04635	-0.02738	0.02602	-0.06639	0.16356	0.02358	(And (Member $e0 play) (Ongoing $e0))
p204009	-0.00603	-0.07464	-0.06960	0.00076	0.00912	0.00575	-0.01239	-0.04416	-0.01637	-0.01383	-0.00575	-0.01405	-0.01558	0.00693	-0.02829	0.04194	0.05301	-0.01231	-0.03798	0.05952	-0.00644	-0.02798	0.07375	-0.01920	-0.00999	-0.00930	-0.02912	-0.01378	0.01482	0.03379	0.03259	-0.00827	-0.00599	0.04960	0.02099	0.03017	0.00203	-0.04274	0.01780	0.00188	-0.03597	0.05700	0.04762	-0.02593	-0.01637	-0.01874	0.03172	-0.01961	-0.01983	-0.05472	0.01505	0.08559	-0.02879	0.03960	-0.00200	-0.02250	-0.01647	0.01024	0.00140	0.00036	0.05873	-0.03710	0.05729	-0.00458	(And (Member $e0 play) (Theme $e0 $x0))
p204010	0.01651	-0.00811	0.01151	0.06889	-0.01535	-0.00907	-0.02955	0.01453	0.06732	-0.02313	-0.04200	-0.00414	-0.01670	0.01075	0.00142	-0.02412	0.01088	0.02016	-0.00424	0.03783	-0.03806	0.01190	-0.00235	-0.02371	-0.00750	0.02827	-0.05743	0.01362	0.01815	-0.01404	-0.03183	-0.00156	0.00242	-0.02319	0.03128	-0.01925	-0.04999	-0.02053	0.04391	0.00135	-0.01064	-0.02274	0.02176	-0.03384	-0.04679	0.02050	-0.00403	-0.04869	-0.03708	0.01347	-0.01097	-0.02244	-0.02164	-0.01727	-0.01568	0.00439	-0.03349	0.00254	0.02086	0.01739	0.05405	0.00300	0.01790	0.00797	(And (Member $e0 present) (Past $e0))
