pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p201423	-0.03262	-0.01026	-0.01042	-0.02529	-0.00293	0.00293	-0.01225	-0.01031	-0.00656	-0.01413	-0.02256	-0.00290	0.00099	-0.00515	0.01466	0.01091	0.01229	0.00812	-0.00709	0.01237	0.02089	-0.01631	0.02512	-0.01026	0.01737	-0.02355	0.02713	0.02945	0.02245	-0.00136	-0.01729	0.00987	(Member $x0 wall)
p201424	-0.03139	-0.00166	-0.01057	0.02118	-0.01670	0.01514	0.01212	0.02259	0.00684	0.00054	0.00198	0.01075	0.02886	0.00376	0.00341	-0.03336	0.00292	0.04482	-0.00906	0.05062	-0.00324	-0.03841	-0.03126	0.00423	0.00110	-0.02851	-0.01136	0.03109	-0.02150	-0.02013	-0.00880	-0.06480	(Member $x0 whole)
p201425	-0.02233	0.01378	-0.00679	-0.01365	-0.03252	0.04246	-0.02010	0.04118	0.03828	0.01303	-0.00545	0.00799	0.04467	-0.01782	0.00082	0.01052	0.01217	0.02039	-0.00081	-0.01218	-0.02759	-0.02634	-0.01061	0.00248	-0.02326	0.00015	0.00032	0.00517	-0.00377	-0.01069	0.00265	-0.02289	(On $e0 $x0)
p201426	0.02472	-0.01815	-0.00673	-0.01921	0.00564	0.02046	-0.01491	-0.00335	0.01983	-0.01922	0.02775	0.01729	0.01045	0.00375	-0.01974	-0.02020	-0.01711	0.01060	0.00810	0.00868	0.01328	0.01574	-0.00226	0.01340	-0.01114	-0.02573	0.00576	0.02939	-0.00523	0.00518	0.01337	-0.00441	(Patient $e0 $e1)
p201427	0.01054	0.01061	-0.01327	0.00300	-0.00739	-0.01527	-0.02011	-0.00591	0.01222	0.01673	0.01497	-0.02479	0.05422	0.02514	-0.02259	0.00780	-0.01006	0.00506	0.01345	-0.00943	0.02767	0.00443	0.02430	0.01969	-0.03035	-0.01378	0.00448	0.02905	-0.01164	-0.02680	0.01549	-0.03042	(Time $e0 yesterday)
p201435	0.05335	-0.07057	-0.10390	-0.01053	0.11064	-0.03718	0.05814	0.01299	0.04614	-0.02931	-0.03517	0.07861	0.10681	-0.03778	-0.00460	0.06220	-0.05665	0.11667	-0.01914	-0.08381	-0.02457	0.12466	0.06183	0.06250	0.12890	-0.07939	0.06961	-0.05687	-0.09072	0.03356	-0.09119	-0.05161	(And (Member $e0 start) (Ongoing $e1) (Patient $e1 $x0) (Theme $e0 $e1))
p201561	-0.02206	-0.00595	-0.01146	-0.02100	-0.02859	0.00011	-0.02000	-0.01367	-0.01597	0.01446	-0.02247	0.01236	0.02170	-0.01036	-0.00242	0.03239	0.01499	-0.01437	-0.00924	0.00451	0.00037	0.01870	-0.00998	0.01562	0.00910	0.02547	0.01392	-0.01823	-0.01135	-0.01684	-0.00796	-0.00054	(And (Agent $e0 $x0) (Member $x0 boy) (Past $e0))
p201562	-0.02764	0.06077	-0.11410	0.00997	0.04747	-0.03934	0.00091	0.06472	0.13242	-0.08500	0.02205	0.05547	-0.05176	0.02117	0.18018	-0.01441	-0.05967	-0.00025	0.08478	-0.02798	0.06562	0.07848	-0.00278	0.00506	0.11046	-0.09102	-0.02086	0.04340	0.09394	-0.03612	0.03680	0.13779	(And (Agent $e0 $x0) (Member $x0 person) (Past $e0))
p201563	-0.03348	0.02696	-0.07839	0.00457	0.04929	-0.03482	0.00779	0.07547	0.09691	-0.10822	-0.00016	0.06038	-0.06143	0.02560	0.15310	-0.03358	-0.04549	0.00011	0.09625	-0.00635	0.05649	0.05900	0.00272	0.01035	0.08238	-0.07854	-0.04392	0.02826	0.09764	-0.02538	0.02199	0.12280	(And (Agent $e0 $x0) (Member $x0 person) (Patient $e0 $x1))
p201564	-0.07218	-0.05255	0.01599	0.04690	0.07503	-0.00137	0.10138	-0.01010	-0.04283	0.05105	0.02624	0.09164	-0.05066	0.03194	-0.00825	-0.07504	-0.09326	-0.01646	0.07041	-0.01138	-0.00101	-0.04290	0.11622	0.05995	-0.09197	0.02073	0.03828	0.07368	-0.04596	-0.01150	-0.12307	0.00866	(And (Agent $e0 $x0) (Patient $e1 $x1) (Theme $e0 $e1))
