pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p202764	-0.01881	-0.02502	0.00328	0.01768	-0.01442	0.00833	-0.00621	-0.03209	-0.00834	0.00327	-0.01545	0.01618	0.00874	-0.00295	0.01610	0.00813	(And (Agent $e0 $x0) (Past $e0) (Through $e0 $x1))
p202765	0.08376	0.04200	0.02956	-0.18788	-0.02284	0.02579	0.03491	0.39646	-0.01804	0.08164	-0.00443	0.09163	0.21036	-0.18036	0.06426	0.14536	(And (Agent $e0 $x0) (Past $e0) (To $e0 $e1))
p202766	0.21320	-0.12950	0.22036	0.07844	0.08991	-0.25438	0.12590	0.05637	0.25744	-0.05967	0.06594	-0.11064	0.00218	-0.13043	0.05664	0.17126	(And (Agent $e0 $x0) (Patient $e0 $x1) (Theme $e1 $e0))
p202767	0.02658	0.00149	-0.00714	0.00392	-0.00993	0.00937	-0.01127	-0.01296	-0.00710	0.01191	0.00932	-0.00556	-0.02619	0.01191	-0.02255	-0.00900	(And (For $e0 $e1) (Past $e0) (Theme $e0 $x0))
p202768	-0.00716	-0.01960	-0.00330	0.01393	-0.00858	-0.01200	-0.01058	0.01382	0.02258	0.02103	-0.00667	-0.00665	-0.00800	0.00047	0.01748	0.01412	(And (Goal $e0 $x0) (Member $e0 go) (Past $e0))
p202769	0.02754	-0.02273	-0.01794	0.02949	-0.01337	0.00067	-0.00359	0.00751	0.00111	0.01151	-0.00564	0.00410	0.00351	-0.01159	-0.02016	-0.00322	(And (Goal $e0 $x0) (Past $e0) (Theme $e0 $x1))
p202770	-0.02075	0.01254	-0.00623	0.02433	-0.02476	-0.04867	-0.00748	-0.01725	0.06937	0.01258	-0.00898	-0.00730	0.11203	0.09271	-0.07916	-0.00107	(And (Holder $e0 $x0) (Member $e0 have) (Past $e0))
p202771	-0.02068	0.01249	-0.00618	0.02430	-0.02488	-0.04866	-0.00744	-0.01703	0.06938	0.01260	-0.00892	-0.00724	0.11221	0.09252	-0.07972	-0.00117	(And (Holder $e0 $x0) (Past $e0) (Theme $e0 $x1))
p202772	0.00665	0.03357	0.02346	-0.01921	0.01725	0.01652	-0.00179	-0.03463	0.01082	0.00383	-0.00997	-0.01644	-0.01737	-0.01989	-0.01546	-0.00753	(And (Instrument $e0 $x0) (Past $e0) (Patient $e0 $x1))
p202773	0.01444	0.09073	-0.06380	-0.02303	0.00274	0.05526	-0.02602	0.00700	-0.04217	-0.00716	0.13453	-0.01319	-0.02546	0.01149	-0.00260	-0.02600	(And (Location $e0 $x0) (Member $e0 find) (Theme $e0 $x1))
p202774	0.23125	-0.13183	0.24875	0.07360	0.09149	-0.27233	0.12253	0.06137	0.26653	-0.06748	0.07978	-0.08357	0.00642	-0.14125	0.06796	0.11072	(And (Location $e0 $x0) (Ongoing $e0) (Patient $e0 $x1))
p202775	0.03964	-0.00636	-0.02099	0.02469	-0.01312	0.01167	0.00048	0.01221	-0.00963	0.00263	-0.00109	0.01199	-0.00218	-0.01535	-0.04877	-0.02870	(And (Member $e0 capture) (Past $e0) (Theme $e0 $x0))
p202776	-0.00633	-0.00545	-0.00968	-0.01560	0.01732	0.00929	0.00184	-0.00723	0.00476	0.01665	-0.00651	-0.00250	0.00534	-0.00862	-0.02262	0.00469	(And (Member $e0 fall) (Past $e0) (Patient $e0 $x0))
p202777	-0.00776	-0.01139	-0.00452	-0.00982	0.01328	0.01873	-0.00637	-0.01772	0.03500	0.01392	-0.00670	-0.00054	0.00566	-0.01319	-0.01969	0.00046	(And (Member $e0 make) (Past $e0) (Patient $e0 $x0))
p202778	0.03235	-0.00828	0.00001	0.00914	-0.00215	-0.00919	-0.00397	-0.00759	-0.00122	0.01456	-0.00787	-0.00353	-0.00593	-0.00591	-0.00589	-0.00539	(And (Member $e0 present) (Past $e0) (Theme $e0 $x0))
p202779	0.04400	0.03177	0.01392	0.00144	-0.00856	-0.00669	-0.01209	-0.01816	0.00090	0.01635	0.00592	-0.01230	-0.03844	0.01420	-0.00167	-0.01869	(And (Member $e0 receive) (Past $e0) (Theme $e0 $x0))
p202780	-0.01084	0.08153	-0.07470	0.00953	0.05182	0.00288	0.00903	0.04084	-0.00361	-0.00342	0.02850	0.04642	0.00433	-0.02095	-0.03154	-0.02072	(And (Member $e0 start) (Past $e0) (Patient $e0 $x0))
p202781	-0.03386	0.04029	-0.07279	0.03448	0.00554	0.01521	-0.00499	-0.00649	-0.01485	0.00609	0.01440	-0.00956	-0.02080	0.02321	-0.00855	0.05635	(And (Member $e0 try) (Past $e0) (Theme $e0 $e1))
p202782	0.03564	-0.00427	-0.00897	0.01154	-0.01164	0.00815	-0.00612	-0.00846	-0.00611	0.00935	-0.00507	0.00189	-0.01646	0.00162	-0.03393	-0.01420	(And (Member $e0 win) (Past $e0) (Theme $e0 $x0))
p202783	0.02652	0.00573	-0.00320	0.01639	-0.01080	0.00583	-0.00405	-0.00323	-0.00887	0.00360	-0.00578	0.00385	-0.01901	0.00560	-0.03253	-0.02382	(And (Past $e0) (Source $e0 $x0) (Theme $e0 $x1))
p202849	-0.02061	0.00347	0.06429	-0.04614	0.00132	0.03114	-0.02674	-0.09021	-0.00644	0.01346	-0.03567	-0.01329	-0.05028	0.02698	0.06712	0.06480	(And (Agent $e0 $x0) (Before $e0 $e1))
p202850	-0.04342	0.02600	-0.06838	0.03814	0.00436	0.01000	-0.00535	-0.01844	-0.03441	-0.00857	0.01837	0.01936	-0.01590	0.04429	-0.02851	0.05585	(And (Agent $e0 $x0) (Cardinality $x0 <num>))
p202851	0.14870	-0.07433	0.12551	0.13454	0.07693	-0.23990	0.09518	0.05716	0.24009	-0.05858	0.05302	-0.08620	-0.02410	-0.07839	0.03632	0.16637	(And (Agent $e0 $x0) (Member $e0 begin))
p202852	-0.00795	-0.00696	-0.02021	0.01030	-0.00118	0.03207	-0.00439	-0.01097	-0.02685	-0.00726	0.03155	-0.00560	0.01265	-0.00471	-0.04233	-0.00686	(And (Agent $e0 $x0) (Member $e0 cause))
p202853	-0.00156	0.00174	0.02607	-0.00356	-0.00424	0.01690	-0.00476	-0.04385	0.03405	-0.00480	-0.01576	-0.00426	-0.02318	0.00348	-0.00132	0.01101	(And (Agent $e0 $x0) (Member $e0 leave))
p202854	-0.00992	-0.01767	0.01739	-0.02562	-0.00263	0.01155	-0.00597	-0.04998	-0.01733	-0.00231	-0.00873	0.01968	-0.03206	0.04516	0.00237	0.03174	(And (Agent $e0 $x0) (Member $e0 play))
p202855	-0.03702	0.08232	-0.02179	-0.01829	-0.05279	0.03012	-0.00859	0.23316	-0.01292	0.05011	0.00891	0.08919	0.16189	-0.10168	-0.00963	0.04963	(And (Agent $e0 $x0) (Member $e0 sing))
p202856	-0.00237	0.06157	0.07807	0.01361	-0.01356	-0.01233	-0.01643	-0.09969	0.00415	-0.01826	-0.03244	0.00932	-0.03573	0.00951	0.03628	-0.01935	(And (Agent $e0 $x0) (Member $e0 study))
p202857	0.05258	0.03881	0.08070	-0.02603	0.02581	-0.02059	0.03125	-0.03726	-0.05786	-0.03210	0.00002	-0.01910	-0.02518	-0.01440	-0.03973	0.02007	(And (Agent $e0 $x0) (Member $e0 take))
p202858	0.00722	-0.02703	0.01641	-0.02307	-0.00735	0.02123	-0.00997	-0.06205	-0.00980	0.00503	-0.01930	0.00844	-0.01055	0.00228	0.03355	0.03695	(And (Agent $e0 $x0) (Member $e0 watch))
p202859	-0.00561	-0.02043	-0.00576	0.02465	-0.01268	0.01510	-0.00066	-0.01240	-0.01342	-0.00170	0.01230	0.00278	0.02477	-0.01871	-0.01971	-0.01171	(And (Agent $e0 $x0) (Member $x0 boy))
p202860	0.00739	0.00774	0.06245	0.00352	-0.00000	0.00464	0.00330	-0.06478	0.13215	-0.00903	-0.02549	-0.01078	-0.03376	-0.01397	0.02135	0.00108	(And (Agent $e0 $x0) (Result $e0 $e1))
p202861	-0.01880	-0.02503	0.00331	0.01767	-0.01442	0.00832	-0.00620	-0.03211	-0.00834	0.00327	-0.01546	0.01618	0.00876	-0.00297	0.01612	0.00812	(And (Agent $e0 $x0) (Through $e0 $x1))
p202862	-0.00522	0.00313	-0.01356	-0.01320	0.01930	0.00210	-0.00495	0.00110	-0.01951	0.01016	0.01268	-0.00060	0.01163	-0.00964	-0.02653	0.00079	(And (Already $e0) (Patient $e0 $x0))
p202863	-0.00507	0.00167	-0.01428	0.00779	-0.00935	0.00741	0.00988	0.00659	-0.01249	0.01103	0.01087	-0.00621	-0.00475	0.00810	-0.00255	0.00371	(And (Before $x0 $e0) (Past $e0))
p202864	-0.00440	-0.01519	0.01693	-0.01438	-0.01201	-0.00033	0.06318	-0.01191	-0.04000	-0.00445	0.00670	0.03569	0.00663	0.01356	0.00195	-0.02729	(And (Experiencer $e0 $x0) (Member $e0 sleep))
p202865	-0.01147	0.04844	0.03042	-0.01057	-0.01367	0.01623	0.05544	-0.02435	-0.02066	0.00146	-0.01754	-0.01873	-0.02208	0.01536	-0.01418	-0.02134	(And (Experiencer $e0 $x0) (Member $x0 person))
p202866	-0.00155	-0.00576	0.00441	-0.00578	-0.00657	0.00282	0.05790	-0.00032	-0.03421	-0.00892	-0.00235	0.00454	0.00943	0.00376	0.00067	-0.01599	(And (Experiencer $e0 $x0) (Source $e0 $x1))
p202867	-0.00707	-0.00853	-0.00385	-0.01072	-0.01287	0.01342	0.14308	0.00884	-0.08823	-0.00719	-0.02502	-0.01513	0.02211	0.01554	0.00326	-0.01937	(And (Experiencer $e0 $x0) (Time $e0 today))
p202868	0.03031	0.01999	0.00053	-0.01334	-0.00812	-0.01293	0.00250	-0.00547	-0.00323	-0.00057	0.00084	-0.00980	0.02965	0.00766	-0.07110	0.00223	(And (GroupOf $x0 thing) (Theme $e0 $x0))
p202869	-0.02064	0.01245	-0.00611	0.02426	-0.02495	-0.04865	-0.00744	-0.01703	0.06940	0.01261	-0.00890	-0.00720	0.11232	0.09240	-0.07997	-0.00124	(And (Holder $e0 $x0) (Past $e0))
p202870	-0.01807	0.00879	-0.03049	-0.00619	-0.01296	0.04155	0.00662	0.00950	-0.03296	0.00365	0.08804	-0.01314	-0.00116	0.00800	-0.00483	-0.01184	(And (LocatedIn $x0 $x1) (Location $e0 $x0))
p202871	-0.01387	0.07380	-0.06580	0.00409	0.04756	0.01347	0.01526	0.02177	-0.00300	-0.00533	0.02300	0.05237	-0.00532	-0.01188	-0.02784	-0.02693	(And (LocatedIn $x0 $x1) (Patient $e0 $x0))
p202872	-0.01143	0.05830	0.05730	0.01589	-0.02160	-0.01479	0.00410	-0.03944	0.00734	0.00931	-0.02079	-0.01806	-0.02926	0.00449	-0.00248	-0.01957	(And (Measure $e0 duration <num> year) (Past $e0))
p202873	0.03964	-0.00636	-0.02099	0.02469	-0.01312	0.01167	0.00049	0.01221	-0.00963	0.00263	-0.00109	0.01199	-0.00218	-0.01535	-0.04877	-0.02870	(And (Member $e0 capture) (Theme $e0 $x0))
p202874	0.04743	-0.05858	-0.00859	-0.08090	-0.01025	0.06944	0.00147	-0.00775	-0.04498	0.00369	-0.00786	-0.03476	0.02574	0.03600	-0.07680	0.10887	(And (Member $e0 contain) (Theme $e0 $x0))
p202875	0.20328	-0.11946	0.22230	0.06848	0.07519	-0.23094	0.08686	0.04334	0.30488	-0.03724	0.04803	-0.12601	-0.00079	-0.12128	0.06360	0.11235	(And (Member $e0 create) (Patient $e0 $x0))
p202876	0.00630	-0.00915	0.01916	-0.03577	0.05235	-0.02003	-0.00933	-0.03272	-0.02029	0.02678	-0.02001	-0.01389	0.00619	-0.00538	0.01775	0.02987	(And (Member $e0 direct) (Patient $e0 $x0))
p202877	-0.00350	-0.01715	-0.00553	0.01068	-0.00426	0.01076	-0.00997	-0.01423	-0.00752	0.01474	0.02771	-0.00366	0.00841	-0.01220	-0.00201	-0.00574	(And (Member $e0 draw) (Past $e0))
p202878	0.02112	-0.01845	0.00076	0.01651	-0.01421	-0.00309	-0.00504	-0.00130	0.00566	0.01357	-0.01057	0.02242	0.00012	-0.01024	-0.00557	-0.01571	(And (Member $e0 follow) (Past $e0))
p202879	0.03826	-0.00682	-0.00904	-0.01245	-0.00904	0.02707	-0.00212	-0.01122	-0.02015	0.00106	-0.00457	0.00149	-0.00756	-0.00145	-0.04193	0.00475	(And (Member $e0 follow) (Theme $e0 $x0))
p202880	-0.03235	0.02835	-0.07463	-0.01354	0.01462	0.10493	0.00464	-0.01000	0.12868	-0.01209	-0.00716	0.12977	-0.04678	0.01390	-0.03155	-0.05734	(And (Member $e0 get) (Ongoing $e0))
p202881	-0.02672	0.03070	-0.07115	-0.01589	0.02168	0.09739	0.00965	-0.00969	0.12206	-0.01332	-0.00580	0.11416	-0.03747	0.00378	-0.03515	-0.05133	(And (Member $e0 get) (Patient $e0 $x0))
p202882	-0.03372	0.02896	-0.07364	-0.01325	0.00931	0.10886	0.00591	-0.01016	0.12706	-0.00976	-0.00596	0.11511	-0.04814	0.01536	-0.02511	-0.05307	(And (Member $e0 get) (Result $e0 $e1))
p202883	-0.00021	0.02247	0.00279	0.00369	-0.00395	0.03335	-0.00171	-0.03201	0.05581	0.00750	0.00599	-0.01459	-0.02906	-0.00045	0.00255	-0.01449	(And (Member $e0 leave) (Past $e0))
p202884	-0.01106	0.04002	-0.03458	-0.00641	0.01175	0.01482	0.03969	-0.01171	-0.04660	-0.00804	0.00292	-0.01608	-0.01101	0.02039	-0.01435	0.01967	(And (Member $e0 need) (Theme $e0 $e1))
p202885	0.03235	-0.00826	-0.00000	0.00915	-0.00212	-0.00920	-0.00400	-0.00771	-0.00117	0.01456	-0.00787	-0.00354	-0.00598	-0.00590	-0.00567	-0.00536	(And (Member $e0 present) (Past $e0))
p202886	0.03235	-0.00827	0.00000	0.00915	-0.00214	-0.00919	-0.00399	-0.00764	-0.00120	0.01456	-0.00787	-0.00353	-0.00596	-0.00590	-0.00580	-0.00538	(And (Member $e0 present) (Theme $e0 $x0))
p202887	0.04403	0.03169	0.01405	0.00138	-0.00857	-0.00671	-0.01211	-0.01826	0.00095	0.01637	0.00587	-0.01231	-0.03847	0.01422	-0.00156	-0.01866	(And (Member $e0 receive) (Theme $e0 $x0))
p202888	-0.01241	-0.02194	-0.00267	0.01688	-0.01354	-0.00608	-0.00670	0.00178	0.00938	0.02156	-0.00889	-0.00303	0.00172	-0.00305	0.01307	0.01353	(And (Member $e0 run) (Past $e0))
p202889	0.02265	0.00248	0.00930	-0.01771	-0.00032	0.00426	-0.00590	-0.01850	-0.01197	-0.00270	-0.00686	0.00070	-0.02066	0.01678	-0.01311	0.00965	(And (Member $e0 sell) (Theme $e0 $x0))
p202890	-0.03604	0.07924	-0.01806	-0.01337	-0.05415	0.02318	-0.01058	0.23625	-0.00250	0.05290	0.00736	0.10155	0.16029	-0.10154	-0.00493	0.03915	(And (Member $e0 sing) (Past $e0))
p202891	-0.00668	-0.02286	0.02066	-0.01747	-0.00439	-0.00616	0.04730	-0.02194	-0.03276	0.00282	-0.00968	0.05462	0.00293	0.01395	0.01602	-0.02073	(And (Member $e0 sleep) (Ongoing $e0))
p202892	0.00696	-0.04115	0.04185	-0.01275	-0.01329	-0.01522	0.01399	-0.01658	0.00439	0.02038	0.00228	0.03926	-0.00658	0.01421	0.00774	-0.01151	(And (Member $e0 stand) (Past $e0))
p202893	0.00382	-0.02063	0.02275	-0.01169	-0.00403	-0.00739	-0.01281	-0.01276	0.01055	-0.00421	-0.01570	0.04624	-0.01740	0.01446	-0.01085	-0.00004	(And (Member $e0 study) (Ongoing $e0))
p202894	0.00222	-0.00608	-0.02392	-0.00455	0.01599	0.02528	-0.00031	-0.00160	0.06382	0.02660	-0.00596	-0.00315	-0.01307	-0.01575	-0.00151	0.00543	(And (Member $e0 turn) (Past $e0))
p202895	0.03561	-0.00418	-0.00899	0.01152	-0.01159	0.00819	-0.00619	-0.00867	-0.00608	0.00935	-0.00507	0.00187	-0.01658	0.00169	-0.03359	-0.01418	(And (Member $e0 win) (Past $e0))
p202896	0.03562	-0.00421	-0.00898	0.01153	-0.01161	0.00818	-0.00617	-0.00861	-0.00609	0.00935	-0.00507	0.00187	-0.01654	0.00167	-0.03369	-0.01419	(And (Member $e0 win) (Theme $e0 $x0))
p202897	-0.01851	0.00839	-0.04423	-0.01797	0.00692	0.09483	-0.01640	-0.01759	0.17084	0.01586	0.00010	0.03026	-0.04965	-0.00821	-0.00353	-0.01213	(And (Member $x0 bad) (Patient $e0 $x0))
p202898	0.02925	0.00224	-0.00452	-0.00202	-0.00587	0.00567	-0.00445	-0.00634	-0.00876	0.00510	-0.00284	-0.00290	-0.01229	0.00696	-0.02143	-0.00422	(And (Member $x0 house) (Theme $e0 $x0))
p202899	0.03289	-0.01702	-0.01292	0.01629	-0.01203	0.01654	-0.00111	0.00099	-0.01329	-0.00467	-0.00587	0.02381	-0.00595	-0.00766	-0.05411	-0.02192	(And (Member $x0 new) (Theme $e0 $x0))
p202900	0.00235	0.01332	0.02522	-0.00896	0.03084	0.00207	-0.00015	-0.04261	0.01398	-0.01374	-0.01489	-0.01219	-0.00994	-0.00572	-0.01815	-0.00554	(And (Member $x0 room) (Patient $e0 $x0))
p202901	-0.00976	-0.00793	-0.00423	-0.02029	0.01705	0.01140	-0.01286	-0.01651	0.01659	0.02156	0.01741	0.02009	-0.01337	0.00600	-0.00344	-0.00301	(And (Member $x0 sound) (Patient $e0 $x0))
p202902	-0.01470	-0.00728	0.01740	-0.00595	-0.00059	-0.00160	-0.01611	-0.03777	-0.00471	0.00929	-0.00680	0.02035	-0.01809	0.01996	0.00994	0.00886	(And (Past $e0) (Stimulus $e0 $e1))
p202903	-0.00480	-0.01644	0.00793	0.00117	0.00679	-0.01986	-0.00802	0.00067	0.00688	0.03051	-0.01226	-0.00754	-0.00372	-0.00321	0.01032	0.01004	(And (Past $e0) (Time $e0 (Year <num>)))
p202904	-0.00887	-0.02080	0.00617	0.00726	0.01231	-0.02523	-0.00894	-0.00152	0.00497	0.04085	-0.01675	-0.00772	0.00055	-0.00543	-0.00709	0.00983	(And (Past $e0) (Time $e0 night))
p202905	-0.01131	-0.02428	0.00201	0.04045	-0.01221	-0.00858	0.01426	-0.02072	-0.00804	0.00730	-0.01713	-0.00151	0.02142	-0.00693	0.01874	-0.00819	(And (Past $e0) (TimeAtMost $e0 (Year <num>)))
p202908	0.10008	0.05522	0.02487	-0.18551	-0.02317	0.01297	0.03807	0.43322	-0.01086	0.08183	0.00350	0.08945	0.20539	-0.18022	0.06822	0.12862	(And (Theme $e0 $x0) (To $e1 $e0))
p202970	0.00537	-0.00659	-0.00619	0.00491	-0.00025	0.00253	-0.00141	0.00564	-0.00329	-0.00074	-0.00173	0.00271	0.00497	-0.00871	-0.01409	-0.00650	(GroupOf $x0 book)
p202971	-0.00260	-0.01679	0.04654	-0.00552	0.00038	-0.00958	-0.00656	-0.05664	0.03346	-0.00651	-0.02815	0.03489	-0.01867	0.00729	0.01795	0.00283	(GroupOf $x0 boy)
p202972	0.00034	-0.00043	-0.00210	-0.00548	-0.00153	0.00401	-0.00514	-0.00417	-0.00232	-0.00350	0.00978	-0.00624	-0.00125	0.00193	0.00315	0.00613	(GroupOf $x0 city)
p202973	-0.02246	0.01435	-0.04043	-0.00282	0.01205	0.01130	-0.00600	-0.00588	-0.02958	0.00089	0.01540	0.00830	-0.00923	0.02472	-0.00889	0.02787	(GroupOf $x0 cloud)
p202974	0.00014	-0.00263	0.00443	-0.00388	0.00304	-0.00045	-0.00273	-0.00220	0.00093	-0.00545	-0.00146	-0.00343	0.00125	-0.00544	0.00302	0.00275	(GroupOf $x0 flower)
p202975	-0.00428	-0.00758	-0.00246	-0.00125	0.00884	-0.00360	-0.00245	-0.00295	-0.00742	0.00276	-0.00415	0.00853	0.01089	-0.00843	-0.01261	-0.00088	(Location $e0 here)
p202976	-0.03017	0.12665	0.02494	0.01687	-0.01896	-0.01417	-0.01116	0.05937	0.00694	0.00974	-0.01155	0.06774	0.06838	-0.05950	0.02746	-0.01251	(Member $e0 appear)
p202977	0.04752	-0.05878	-0.00824	-0.08095	-0.01035	0.06932	0.00152	-0.00773	-0.04489	0.00372	-0.00797	-0.03479	0.02576	0.03596	-0.07701	0.10884	(Member $e0 contain)
p202978	0.20320	-0.12001	0.22214	0.06843	0.07510	-0.23082	0.08698	0.04370	0.30438	-0.03718	0.04788	-0.12564	-0.00072	-0.12124	0.06286	0.11251	(Member $e0 create)
p202979	-0.00349	-0.01715	-0.00552	0.01069	-0.00425	0.01074	-0.00997	-0.01426	-0.00749	0.01474	0.02770	-0.00367	0.00840	-0.01220	-0.00192	-0.00572	(Member $e0 draw)
p202980	-0.01559	0.02287	0.01278	0.00248	0.00878	0.00305	-0.00433	-0.04264	-0.02042	-0.00510	-0.01059	-0.00018	0.00027	0.00788	-0.01936	-0.00304	(Member $e0 eat)
p202981	-0.00633	-0.01468	0.00721	0.00385	0.00491	-0.00768	-0.00394	-0.01096	-0.00145	0.01139	-0.01017	-0.00640	0.00671	-0.00632	0.00195	0.00677	(Member $e0 form)
p202982	-0.00044	-0.00269	-0.00083	-0.00216	-0.00337	0.00067	0.03598	0.00693	-0.01911	-0.00666	-0.00586	-0.00446	0.00967	-0.00265	0.00426	-0.00684	(Member $e0 look)
p202983	0.01945	-0.00511	-0.00215	0.00674	-0.00698	0.00310	-0.00535	-0.00470	-0.00084	0.00302	-0.00412	-0.00163	-0.01297	0.00084	-0.01767	-0.00560	(Member $e0 portray)
p202984	0.00482	-0.01326	-0.00737	0.00244	-0.00738	0.01523	-0.00253	-0.00939	-0.01292	-0.00241	-0.00526	-0.00005	-0.00167	-0.00048	-0.01876	0.01025	(Member $e0 provide)
p202985	0.01170	0.00417	-0.00143	-0.00769	-0.00631	0.00155	0.00715	0.00697	-0.01501	0.01522	0.00736	-0.01297	-0.01539	0.01459	0.00064	0.00640	(Member $e0 say)
p202986	0.00685	-0.04101	0.04136	-0.01264	-0.01329	-0.01506	0.01402	-0.01601	0.00417	0.02037	0.00242	0.03940	-0.00654	0.01423	0.00704	-0.01149	(Member $e0 stand)
p202987	-0.04443	0.07421	-0.08755	0.05494	0.00789	0.00520	0.01473	0.00801	-0.03361	0.02168	0.04033	-0.03235	-0.03093	0.03347	-0.00471	0.03319	(Member $e0 stop)
p202988	-0.02280	-0.01961	0.00926	-0.00998	-0.00705	0.01813	-0.02320	-0.04698	-0.01001	-0.00078	0.00320	0.04556	-0.02860	0.03826	0.02119	0.00791	(Member $e0 swim)
p202989	-0.02690	-0.00927	-0.02436	0.03735	-0.01327	0.01196	-0.00667	-0.01600	-0.00352	0.00733	0.00667	-0.01060	0.00062	0.00336	0.01811	0.02233	(Member $e0 travel)
p202990	-0.00479	0.00575	-0.00294	-0.00347	0.00509	-0.00823	-0.00223	-0.00396	0.00522	-0.00238	-0.00217	-0.00118	0.02436	0.00784	-0.02401	-0.00059	(Member $x0 bank)
p202991	-0.00784	0.00535	-0.01815	-0.00747	0.00166	0.03320	0.00815	-0.00215	0.02686	0.00068	0.00073	-0.00239	-0.01086	-0.00442	-0.00393	-0.00545	(Member $x0 black)
p202992	0.01147	0.02718	-0.01849	0.00582	0.01041	-0.01928	-0.00403	0.02323	0.01563	-0.00027	0.00758	0.02567	0.01856	0.00802	-0.01934	-0.01392	(Member $x0 blue)
p202993	0.00057	-0.00210	0.00130	0.00076	-0.00146	-0.00336	-0.00343	0.00952	0.00729	-0.00442	0.00012	-0.00209	0.00086	-0.00705	0.00843	-0.00207	(Member $x0 box)
p202994	0.00571	-0.00695	-0.00936	0.00455	0.00051	0.00239	-0.00180	0.00760	-0.00254	-0.00009	-0.00024	0.00230	0.00659	-0.01121	-0.01108	-0.00318	(Member $x0 corner)
p202995	0.01239	-0.00063	0.00001	-0.01121	0.02555	-0.01283	-0.00561	-0.00506	-0.00826	0.01318	-0.00704	-0.00526	0.00090	-0.00534	-0.00343	0.00428	(Member $x0 film)
p202996	-0.01194	-0.01943	0.00534	-0.00513	0.01635	0.00843	0.00568	-0.01469	-0.02360	0.00942	-0.00039	0.01186	0.01724	-0.00342	-0.01041	-0.00725	(Member $x0 fire)
p202997	0.00112	-0.00133	-0.00028	-0.00003	0.00385	-0.00455	-0.00439	0.00633	0.00741	-0.00585	-0.00082	0.01135	0.00052	-0.00658	0.00227	-0.00604	(Member $x0 fridge)
p202998	0.00031	-0.00021	-0.00043	0.00081	-0.00114	-0.00231	-0.00272	0.00876	0.00554	-0.00389	0.00160	-0.00154	0.00171	-0.00699	0.00673	-0.00244	(Member $x0 full)
p202999	0.00566	-0.02013	0.00110	-0.00262	-0.00349	0.01352	-0.00480	-0.01954	-0.01336	-0.00388	-0.01056	0.01178	-0.00592	0.00337	-0.02846	0.01257	(Member $x0 government)
p203000	0.00619	-0.00726	-0.00633	0.00331	-0.00281	0.01077	-0.00203	-0.00325	-0.00992	-0.00630	-0.00422	0.02247	0.00847	-0.00717	-0.02211	-0.01772	(Member $x0 language)
p203001	0.00664	0.00167	-0.00637	0.00238	-0.00325	0.00082	-0.00156	0.00889	-0.00680	-0.00791	-0.00032	0.02098	0.00424	-0.01034	-0.00753	-0.01407	(Member $x0 line)
p203002	-0.00029	0.00199	0.00269	-0.00220	0.00243	-0.00430	-0.00310	0.00713	0.00201	-0.00023	-0.00173	-0.00286	0.00098	-0.00590	-0.00347	-0.00085	(Member $x0 party)
p203003	-0.01026	-0.01076	-0.00086	-0.00550	-0.00670	0.01484	0.03160	-0.00944	-0.00274	0.01025	-0.01326	-0.00811	-0.00269	0.00500	0.00172	0.00788	(Member $x0 train)
p203004	0.00344	-0.00661	0.00090	-0.00358	-0.00237	0.00113	-0.00356	0.00196	0.00074	0.00046	-0.00290	-0.00478	-0.00466	0.00028	0.00234	0.00776	(Member $x0 way)
p203005	-0.00520	-0.01488	0.00935	0.00778	0.02181	-0.00064	0.00007	-0.01589	-0.01134	-0.00546	-0.01014	0.01060	0.02883	-0.01743	-0.02560	-0.01618	(Member $x0 wind)
p203006	0.03264	0.03590	0.02349	-0.00506	-0.00354	-0.01575	0.00360	-0.01940	-0.00153	0.00633	-0.00914	-0.01638	-0.02908	0.01590	0.00337	-0.01119	(Member $x0 work)
p203007	0.02096	-0.00264	-0.01833	0.01269	-0.00989	0.01542	-0.00535	0.00686	-0.00965	0.00287	0.01437	0.00376	-0.00739	-0.00280	-0.02798	-0.01820	(Of $x0 $x1)
p203008	-0.01508	-0.01706	-0.00566	0.00622	-0.00648	0.00853	-0.00411	-0.01775	-0.01239	0.00620	-0.00943	0.00111	0.01171	-0.00451	-0.00622	0.01622	(Over $e0 $x0)
p203009	-0.00432	-0.00921	0.00290	-0.00036	-0.00061	0.00436	0.01113	-0.00390	-0.01239	-0.00500	-0.00542	-0.00438	0.01174	-0.00547	-0.00757	0.00097	(ProportionOf $x0 $x1 most)
p203010	0.00222	0.00514	0.00301	-0.00150	-0.00122	-0.01288	0.00537	-0.00376	0.00590	0.00917	-0.00744	-0.00886	0.01003	0.02291	-0.00887	0.00157	(Still $e0)
p203011	-0.01470	-0.00728	0.01740	-0.00595	-0.00059	-0.00160	-0.01611	-0.03777	-0.00471	0.00929	-0.00680	0.02035	-0.01809	0.01996	0.00994	0.00886	(Stimulus $e0 $e1)
p203012	-0.00479	-0.01642	0.00782	0.00111	0.00681	-0.01988	-0.00793	0.00083	0.00682	0.03053	-0.01223	-0.00751	-0.00357	-0.00331	0.01035	0.01015	(Time $e0 (Year <num>))
p203013	-0.01130	-0.02430	0.00201	0.04047	-0.01223	-0.00861	0.01428	-0.02068	-0.00802	0.00730	-0.01713	-0.00149	0.02147	-0.00698	0.01866	-0.00819	(TimeAtMost $e0 (Year <num>))
