pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200196	-0.07905	0.11478	0.00760	0.03442	-0.12121	-0.26313	-0.03125	-0.14286	0.37553	-0.00736	-0.03585	-0.05954	0.67114	0.50318	-0.54087	0.02732	(And (Member $e0 have) (Theme $e0 $x0))
p200209	-0.08074	-0.12285	-0.16770	0.13080	-0.04898	0.00775	-0.05683	0.03851	0.01784	0.12235	-0.01386	0.01586	0.02567	-0.01390	-0.00143	0.12977	(And (Goal $e0 $x0) (Past $e0))
p200210	-0.05164	-0.29172	0.30251	-0.05968	-0.11916	-0.09177	-0.02603	-0.18748	0.06369	0.13171	-0.01670	0.54990	-0.16353	0.22559	0.05951	-0.17736	(And (Ongoing $e0) (Past $e0))
p200214	0.19701	0.01023	0.05599	0.03330	0.31227	-0.22613	0.09909	0.12628	0.34322	-0.16722	0.10094	0.47319	-0.05083	-0.15755	-0.12005	-0.06371	(And (Ongoing $e0) (Patient $e0 $x0))
p200233	-0.02637	-0.09816	0.00354	0.01569	-0.00222	0.04480	0.11049	-0.05259	-0.05816	0.02168	0.02756	-0.07370	0.13819	-0.07795	0.00566	0.03057	(GroupOf $x0 person)
p200243	0.08153	-0.22373	0.29163	0.06091	0.00255	0.01045	-0.01022	-0.16501	0.15692	-0.05044	0.59522	-0.12741	0.05023	-0.08065	0.15164	0.08215	(And (Agent $e0 $x0) (Location $e0 $x1))
p200248	0.00107	0.05168	-0.04723	-0.06850	0.05231	0.04207	0.01939	-0.06457	-0.06643	-0.04911	0.01608	-0.00045	0.00868	0.05763	-0.10342	0.04742	(Future $e0)
p200249	-0.00692	0.01748	-0.01335	0.04846	0.00336	-0.02926	0.04017	-0.03194	-0.06388	0.01336	-0.03616	0.02901	-0.01190	0.00546	-0.04010	-0.03254	(Source $e0 $x0)
p200263	-0.05013	1.06289	0.75503	0.00174	-0.14914	0.08544	-0.12485	-0.52144	0.06548	-0.07742	-0.16660	-0.05502	-0.16450	-0.14793	0.24880	-0.23874	(And (Agent $e0 $x0) (Member $x0 person))
p200292	-0.10672	0.12301	-0.21720	-0.10040	0.04305	0.51770	0.14043	-0.16044	0.71213	0.05034	-0.03089	0.03880	-0.23907	-0.02395	-0.04060	-0.06569	(And (Experiencer $e0 $x0) (Result $e1 $e0))
p200293	0.14465	-0.26703	0.43741	-0.07449	0.00841	-0.23642	0.13984	-0.10733	0.16587	-0.00716	0.30436	0.19641	-0.14183	0.14435	0.10535	0.03240	(And (Location $e0 $x0) (Ongoing $e0))
p200320	-0.00676	0.11333	-0.22438	0.25223	0.13491	-0.12464	0.12376	0.00864	0.05506	-0.08855	0.14376	-0.05579	-0.13874	0.07450	-0.10924	0.42648	(And (Agent $e0 $x0) (Theme $e0 $e1))
p200321	-0.10617	0.10888	-0.01380	0.03440	-0.08606	-0.17958	-0.02854	-0.11017	0.28183	-0.01643	-0.02310	-0.04095	0.50565	0.41608	-0.39261	0.02180	(And (Holder $e0 $x0) (Member $e0 have))
p200322	-0.08419	0.02142	-0.13466	-0.04433	-0.00902	0.31819	0.00416	-0.09216	0.55225	0.13679	-0.03600	-0.00080	-0.21251	0.00895	0.02503	0.00014	(And (Past $e0) (Result $e0 $e1))
p200323	-0.10641	0.12709	-0.21939	-0.09914	0.04775	0.51377	0.11966	-0.15854	0.69903	0.04679	-0.02602	0.04285	-0.23746	-0.02467	-0.04636	-0.06488	(And (Patient $e0 $x0) (Result $e0 $e1))
p200326	0.00993	0.03219	0.02792	-0.05109	0.01041	0.03267	-0.01969	-0.06850	-0.01479	-0.01904	-0.00975	-0.04490	-0.05534	0.02660	-0.03838	0.04067	(Can $e0)
p200327	-0.10694	0.11006	-0.01465	0.03390	-0.08475	-0.17952	-0.02863	-0.11431	0.28093	-0.01653	-0.02348	-0.04158	0.50471	0.41732	-0.38542	0.02326	(Holder $e0 $x0)
p200337	-0.10220	0.10594	-0.01135	0.03376	-0.08538	-0.17791	-0.02788	-0.10970	0.27924	-0.01541	-0.02321	-0.03997	0.49890	0.40727	-0.38935	0.02111	(And (Holder $e0 $x0) (Member $e0 have) (Theme $e0 $x1))
p200339	-0.10243	0.10628	-0.01165	0.03364	-0.08505	-0.17785	-0.02789	-0.11065	0.27892	-0.01543	-0.02328	-0.04012	0.49865	0.40763	-0.38771	0.02149	(And (Holder $e0 $x0) (Theme $e0 $x1))
p200343	0.04639	0.05253	0.03066	-0.04059	0.03088	-0.02171	-0.00123	-0.05968	-0.00117	-0.01044	-0.02435	-0.02294	-0.04063	0.01543	-0.00864	0.00799	(Obligated $e0)
p200359	0.09128	0.04933	0.08847	-0.27416	-0.02396	0.05440	-0.00598	0.31185	-0.00377	0.09832	-0.02955	0.07416	0.16559	-0.15250	0.18095	0.22263	(To $e0 $e1)
p200379	-0.00958	0.14591	-0.16468	0.21655	0.13636	-0.15333	0.12902	-0.04568	0.01551	-0.07678	0.16970	-0.12090	-0.19427	0.16214	-0.01953	0.47879	(And (Agent $e0 $x0) (Theme $e1 $e0))
p200380	0.06894	0.25081	-0.21246	0.25002	0.24535	-0.28415	0.17452	0.17257	0.01942	-0.14806	0.20425	0.17951	-0.07157	0.00054	-0.03924	0.18389	(And (Ongoing $e0) (Theme $e1 $e0))
p200416	-0.01559	-0.03780	0.01813	-0.04477	0.04315	0.03399	-0.05534	-0.10047	0.11084	0.02051	-0.02364	0.08130	-0.05550	0.01415	-0.01785	0.01651	(Member $e0 make)
p200422	-0.05251	0.24762	-0.27273	0.09579	0.15033	-0.03862	0.10394	0.12089	-0.15524	-0.06445	0.11756	0.20602	-0.01693	0.02430	-0.06191	-0.00622	(Member $e0 start)
p200425	-0.04726	0.80042	0.50833	0.13333	-0.12742	0.02654	-0.07026	-0.36187	0.06879	-0.06059	-0.15708	-0.00444	-0.06491	-0.17794	0.19682	-0.28477	(And (Agent $e0 $x0) (Member $x0 person) (Past $e0))
p200431	0.00906	-0.00332	0.02136	0.03085	-0.00444	-0.02060	-0.01575	-0.03050	-0.01114	0.03299	-0.03462	0.00673	-0.00953	-0.01084	-0.03074	-0.03338	(And (Past $e0) (Source $e0 $x0))
p200432	-0.03785	-0.06192	0.03818	-0.01847	-0.03319	-0.01895	-0.00017	-0.09243	0.01650	0.01310	0.00201	0.02854	0.03622	0.12412	-0.03696	0.04131	(GroupOf $x0 child)
p200433	0.03949	0.01902	0.00898	-0.04865	0.00631	0.02000	-0.02238	-0.05253	-0.02823	-0.00878	-0.01377	-0.03846	-0.05199	0.04158	-0.03753	0.04815	(Member $e0 use)
p200434	0.02007	0.02051	-0.00123	-0.01017	-0.00555	0.01223	-0.02424	-0.01893	-0.00477	0.00116	0.02387	-0.01940	0.00073	0.01495	-0.03677	-0.00999	(Member $x0 house)
p200451	0.09007	0.19314	-0.13019	0.25266	0.19793	-0.29179	0.18143	0.12611	0.06047	-0.12915	0.16180	0.09970	-0.05459	-0.02783	-0.01555	0.17560	(And (Ongoing $e0) (Past $e1) (Theme $e1 $e0))
p200463	0.03590	0.08464	-0.14389	0.27043	0.11994	-0.17911	0.14387	0.03446	0.12034	-0.08354	0.11562	-0.06973	-0.08753	0.00221	-0.06217	0.34158	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $e1))
p200466	0.02918	-0.02037	-0.08586	-0.07651	0.11823	0.10700	-0.01758	-0.15753	-0.14153	-0.05078	-0.03093	-0.05894	0.00580	0.14326	0.29572	0.14500	(And (Agent $e0 $x0) (Member $x0 thing))
p200480	0.03181	0.08715	-0.13535	0.26206	0.12654	-0.21159	0.13770	0.02063	0.08172	-0.07203	0.11374	-0.09892	-0.12228	0.06406	-0.02738	0.40242	(And (Agent $e0 $x0) (Past $e1) (Theme $e1 $e0))
p200493	0.20346	-0.16097	0.21510	0.06229	0.13033	-0.17804	0.11632	0.05995	0.18123	-0.07183	0.33139	-0.12730	0.16488	-0.23232	-0.04953	0.03118	(And (Location $e0 $x0) (Patient $e0 $x1))
