pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p201997	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12129	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Location $e0 eskisehir) (Member $x0 hotel) (Past $e0) (Patient $e0 $x0))
p202007	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12128	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Location $e0 turkey) (Member $e0 build) (Member $x0 hotel) (Patient $e0 $x0))
p202008	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12128	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Location $e0 turkey) (Member $x0 hotel) (Past $e0) (Patient $e0 $x0))
p202014	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12128	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Member $e0 build) (Member $x0 hotel) (Past $e0) (Patient $e0 $x0))
p202020	-0.08402	-0.04793	0.23131	-0.06185	0.14648	0.00261	0.18006	-0.10552	0.26911	-0.02083	-0.05100	-0.13189	-0.07704	-0.01436	0.04459	0.10912	-0.04114	-0.00380	-0.00300	-0.06048	0.08082	0.05635	0.08466	0.01939	0.05183	0.03112	0.10219	-0.00601	0.03696	-0.12333	-0.03990	-0.05761	(And (Member $e0 win) (Member $x0 emmy) (Past $e0) (Theme $e0 $x0))
p202023	0.05575	0.15054	0.07029	-0.01475	-0.11750	0.17461	-0.03547	-0.19823	-0.02296	0.14218	0.03443	-0.09612	-0.07129	0.01524	-0.01628	0.04232	0.12239	-0.01121	-0.02087	-0.09439	-0.06963	0.02436	0.22712	-0.06290	-0.03471	-0.10415	0.03166	0.17565	-0.09642	-0.08938	0.17347	-0.03123	(And (Member $x0 firm) (Member $x1 tender) (Possession $x1 $x0) (Theme $e0 $x1))
p202024	-0.09973	0.09786	-0.00491	-0.02947	-0.10037	-0.09680	-0.01805	0.04754	0.18743	-0.03061	-0.01650	0.09865	-0.01587	0.19277	-0.04897	0.01623	-0.07502	0.08822	0.14627	0.04176	0.05310	-0.04238	-0.07223	0.08274	-0.06942	-0.06262	-0.14541	0.21859	-0.05769	-0.06514	-0.00466	-0.06573	(And (Member $x0 gearbox) (Member $x0 seized) (Past $e0) (Patient $e0 $x0))
p202025	0.00349	0.00979	-0.02521	-0.02535	0.01347	0.00103	0.01593	-0.01639	-0.00722	0.01576	-0.00551	-0.01429	0.01594	-0.01249	-0.01049	-0.00238	-0.00306	-0.00078	-0.01899	-0.01370	0.00681	0.00301	0.00843	0.01703	-0.00854	0.01101	0.05272	0.00592	-0.01857	0.01241	-0.01814	0.01585	(And (Member $x0 hearing) (Patient $e0 $x0) (Time $e0 (Weekday monday)) (Time $e0 morning))
p202026	0.08574	-0.09193	0.09503	-0.06207	-0.04101	-0.10449	-0.02430	0.04384	-0.04536	0.13158	-0.08694	-0.11822	0.13224	0.05858	-0.08746	-0.05580	0.10229	0.00810	0.14551	0.00353	0.15148	0.09440	0.00289	-0.07483	0.17997	-0.03931	-0.01548	-0.02354	-0.16057	0.09562	-0.01640	-0.08070	(And (Member $x0 view) (Past $e0) (Possession $x0 free_soil_party) (Theme $e0 $x0))
p202027	0.08574	-0.09193	0.09503	-0.06207	-0.04101	-0.10449	-0.02430	0.04384	-0.04536	0.13158	-0.08694	-0.11822	0.13224	0.05858	-0.08746	-0.05580	0.10229	0.00810	0.14551	0.00353	0.15148	0.09440	0.00289	-0.07483	0.17997	-0.03931	-0.01548	-0.02354	-0.16057	0.09562	-0.01640	-0.08070	(And (Member $x0 view) (Past $e0) (Possession $x0 republican_party) (Theme $e0 $x0))
p202029	0.08574	-0.09193	0.09503	-0.06207	-0.04101	-0.10449	-0.02430	0.04384	-0.04536	0.13158	-0.08694	-0.11822	0.13224	0.05858	-0.08746	-0.05580	0.10229	0.00810	0.14551	0.00353	0.15148	0.09440	0.00289	-0.07483	0.17997	-0.03931	-0.01548	-0.02354	-0.16057	0.09562	-0.01640	-0.08070	(And (Past $e0) (Possession $x0 free_soil_party) (Possession $x0 republican_party) (Theme $e0 $x0))
p202763	0.01053	0.00395	0.01581	-0.00140	-0.03144	-0.01933	0.02767	0.02381	-0.02398	-0.00779	-0.00166	-0.01702	0.00658	0.00464	-0.01989	0.03980	0.01296	0.02004	-0.00070	0.01601	-0.01018	-0.03437	-0.01659	-0.02393	-0.02194	0.00077	-0.00289	-0.01027	0.00679	-0.01343	-0.03837	-0.01806	(And (Agent $e0 $x0) (Agent $e0 jica) (Member $x0 government))
p202768	-0.01389	-0.10321	-0.06974	-0.00669	-0.01742	0.10475	-0.13891	-0.01608	0.24462	0.09864	0.12041	-0.01440	0.13102	-0.02733	0.05529	0.06887	0.01756	-0.08675	-0.03600	0.07864	-0.07483	-0.13989	-0.03146	0.01229	-0.05153	-0.05059	0.01754	-0.03622	-0.05281	0.24331	-0.03879	0.04092	(And (Agent $e0 $x0) (GroupOf $x1 lemon) (Theme $e0 $x1))
p202769	0.00766	0.00212	0.01267	-0.00083	-0.02945	-0.01675	0.02111	0.01717	-0.02127	-0.00721	0.00316	-0.01455	0.00373	0.00639	-0.01786	0.04121	0.01183	0.01692	-0.00096	0.01008	-0.00825	-0.02987	-0.01651	-0.02197	-0.01980	0.00005	-0.00207	-0.00745	0.00759	-0.01063	-0.03328	-0.01859	(And (Agent $e0 $x0) (GroupOf $x1 sample) (Theme $e0 $x1))
p202770	0.01008	0.03402	0.03055	0.00406	-0.03714	0.00426	0.01340	-0.02179	-0.02466	-0.00233	0.00190	-0.02363	0.00313	0.00073	-0.02010	0.04261	0.01791	0.01828	-0.00032	0.00189	-0.01604	-0.01908	-0.00167	-0.02759	-0.02620	-0.01517	-0.00736	0.00786	0.00658	-0.02212	-0.01782	-0.01938	(And (Agent $e0 $x0) (Inheritance rescue_team team) (Member $x0 rescue_team))
p202771	-0.08594	-0.11418	0.11928	0.09867	-0.05267	-0.02176	-0.01549	-0.00984	0.02205	0.17878	0.03028	0.09354	-0.04961	-0.04540	-0.00859	-0.03641	0.12079	-0.02754	-0.00982	0.06335	-0.02054	-0.06345	-0.05001	0.14743	-0.09148	0.09441	-0.02988	-0.03987	0.04526	-0.05387	0.00129	-0.10041	(And (Agent $e0 $x0) (Location $e0 $x1) (Member $x0 biologist))
p202772	0.07493	-0.10673	0.00557	0.03713	-0.01203	0.03661	-0.08602	-0.10770	-0.02268	-0.14587	-0.07942	0.09816	0.14494	0.09410	0.01174	0.11050	-0.05357	-0.03588	-0.04394	-0.06159	-0.03354	-0.06550	0.13869	0.14248	0.14824	-0.06987	0.02307	0.01315	0.09800	-0.03435	0.04065	-0.00908	(And (Agent $e0 $x0) (Location $e0 $x1) (Member $x0 diver))
p202773	-0.10948	-0.14574	0.15577	0.12495	-0.06239	-0.02799	-0.02004	-0.01026	0.02406	0.22708	0.03781	0.12073	-0.06138	-0.05700	-0.01164	-0.04760	0.15600	-0.03035	-0.01276	0.08098	-0.02891	-0.08135	-0.06113	0.18686	-0.11783	0.11893	-0.03825	-0.05256	0.05667	-0.06945	-0.00211	-0.12803	(And (Agent $e0 $x0) (Location $e0 $x1) (Member $x1 survey))
p202774	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12129	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Agent $e0 $x0) (Location $e0 eskisehir) (Member $x0 company))
p202775	-0.03076	0.05970	0.09328	0.04696	-0.06189	0.04186	-0.03889	0.09007	-0.04385	-0.06298	-0.01792	0.05978	-0.02251	-0.07867	-0.02675	0.06993	-0.09538	-0.06845	-0.06065	0.03352	-0.06204	0.12396	-0.05729	-0.05090	0.12128	0.07066	0.00236	0.12592	-0.02139	0.05261	-0.02095	-0.04166	(And (Agent $e0 $x0) (Location $e0 kazakhstan) (Member $x0 company))
p202776	-0.04629	0.08931	0.13978	0.07061	-0.09307	0.06288	-0.05855	0.13474	-0.06593	-0.09466	-0.02715	0.08942	-0.03399	-0.11818	-0.04064	0.10472	-0.14327	-0.10291	-0.09119	0.05020	-0.09328	0.18564	-0.08614	-0.07657	0.18168	0.10571	0.00328	0.18857	-0.03232	0.07868	-0.03173	-0.06268	(And (Agent $e0 $x0) (Location $e0 turkey) (Member $x0 company))
p202777	0.22442	0.25241	0.14766	-0.10041	0.22406	0.16239	-0.07178	-0.06058	-0.08570	-0.11714	-0.06082	0.00201	-0.06300	0.10361	0.08405	-0.11291	-0.02376	0.10949	0.04087	-0.17982	-0.12587	-0.13812	-0.02713	-0.06698	-0.03488	0.07611	-0.04256	-0.15147	-0.02216	0.18315	-0.04553	-0.02519	(And (Agent $e0 $x0) (Location $e1 $x1) (Theme $e0 $e1))
p202779	-0.06190	0.11897	0.18617	0.09351	-0.12419	0.08335	-0.07821	0.17972	-0.08811	-0.12639	-0.03626	0.11918	-0.04540	-0.15775	-0.05390	0.13944	-0.19117	-0.13731	-0.12173	0.06664	-0.12451	0.24752	-0.11498	-0.10222	0.24218	0.14089	0.00433	0.25146	-0.04320	0.10479	-0.04229	-0.08371	(And (Agent $e0 $x0) (Member $e0 build) (Member $x0 company))
p202781	0.10775	-0.03349	-0.01041	0.15472	-0.05087	-0.00645	-0.04129	0.06664	0.10792	-0.00881	-0.03327	-0.04548	-0.02837	0.06276	0.00574	-0.02424	-0.02632	-0.00760	-0.03565	-0.02654	0.05594	-0.05091	-0.05132	-0.00908	0.00179	0.12441	-0.03413	-0.05813	-0.00183	-0.03459	0.11744	-0.01730	(And (Agent $e0 $x0) (Member $e1 decision) (Patient $e0 $e1))
p202782	0.13750	-0.00630	0.00182	0.16821	-0.06063	0.00776	-0.04462	0.06339	0.12287	-0.02242	-0.03887	-0.06155	-0.03703	0.07357	0.01237	-0.03790	-0.03545	0.00401	-0.04162	-0.04382	0.06034	-0.06266	-0.05208	-0.01364	0.00570	0.13576	-0.04137	-0.06707	0.00191	-0.03394	0.11145	-0.01626	(And (Agent $e0 $x0) (Member $e1 decision) (Theme $e0 $e1))
p202783	-0.01389	-0.10321	-0.06974	-0.00669	-0.01742	0.10475	-0.13891	-0.01608	0.24462	0.09864	0.12041	-0.01440	0.13102	-0.02733	0.05529	0.06887	0.01756	-0.08675	-0.03600	0.07864	-0.07483	-0.13989	-0.03146	0.01229	-0.05153	-0.05059	0.01754	-0.03622	-0.05281	0.24331	-0.03879	0.04092	(And (Agent $e0 $x0) (Member $x0 chef) (Past $e0))
p202784	-0.01389	-0.10321	-0.06974	-0.00669	-0.01742	0.10475	-0.13891	-0.01608	0.24462	0.09864	0.12041	-0.01440	0.13102	-0.02733	0.05529	0.06887	0.01756	-0.08675	-0.03600	0.07864	-0.07483	-0.13989	-0.03146	0.01229	-0.05153	-0.05059	0.01754	-0.03622	-0.05281	0.24331	-0.03879	0.04092	(And (Agent $e0 $x0) (Member $x0 chef) (Theme $e0 $x1))
p202785	-0.00898	0.00703	-0.00223	-0.00159	-0.01299	0.00622	0.01144	0.03550	-0.02137	-0.00278	-0.00667	-0.00501	-0.00170	0.01451	-0.00530	0.02695	0.01853	-0.00387	-0.00267	0.00852	0.02080	-0.03406	-0.02475	-0.01873	-0.02544	-0.00628	-0.00201	-0.00011	0.02687	-0.02371	-0.02744	-0.02527	(And (Agent $e0 $x0) (Member $x0 clerk) (Theme $e0 $x1))
p202786	-0.06190	0.11897	0.18617	0.09351	-0.12419	0.08335	-0.07821	0.17972	-0.08811	-0.12639	-0.03626	0.11918	-0.04540	-0.15775	-0.05390	0.13944	-0.19117	-0.13731	-0.12173	0.06664	-0.12451	0.24752	-0.11498	-0.10222	0.24218	0.14089	0.00433	0.25146	-0.04320	0.10479	-0.04229	-0.08371	(And (Agent $e0 $x0) (Member $x0 company) (Past $e0))
p202787	-0.06190	0.11897	0.18617	0.09351	-0.12419	0.08335	-0.07821	0.17972	-0.08811	-0.12640	-0.03626	0.11918	-0.04540	-0.15775	-0.05390	0.13944	-0.19117	-0.13731	-0.12173	0.06664	-0.12451	0.24752	-0.11498	-0.10222	0.24218	0.14089	0.00433	0.25146	-0.04320	0.10479	-0.04229	-0.08371	(And (Agent $e0 $x0) (Member $x0 company) (Patient $e0 $x1))
p202788	-0.08635	-0.01352	-0.03791	-0.00535	-0.04332	-0.05251	-0.00929	-0.01574	-0.02507	0.10551	0.08234	0.07150	-0.04680	0.12410	0.02116	-0.03441	-0.06974	-0.01429	-0.04510	-0.10960	0.05361	0.14428	-0.00666	-0.05411	-0.07726	-0.01427	0.07767	-0.00138	0.14744	0.06561	0.03873	-0.11124	(And (Agent $e0 $x0) (Member $x0 council) (Patient $e0 $x1))
p202789	-0.00946	0.00165	0.00006	-0.00406	-0.00891	0.00560	0.00301	-0.00755	-0.00159	-0.00854	-0.01200	-0.01549	-0.00444	0.00645	-0.00952	-0.00457	0.00149	0.01591	-0.00047	-0.00150	0.00032	-0.00732	-0.01348	0.00085	0.00796	0.03149	-0.01361	-0.01030	0.00453	0.00566	0.00221	-0.00837	(And (Agent $e0 $x0) (Member $x0 delegation) (Time $e0 (Weekday thursday)))
p202790	0.07493	-0.10673	0.00557	0.03713	-0.01203	0.03661	-0.08602	-0.10770	-0.02268	-0.14587	-0.07942	0.09816	0.14494	0.09410	0.01174	0.11050	-0.05357	-0.03588	-0.04394	-0.06159	-0.03354	-0.06550	0.13869	0.14248	0.14824	-0.06987	0.02307	0.01315	0.09800	-0.03435	0.04065	-0.00908	(And (Agent $e0 $x0) (Member $x0 diver) (Theme $e0 $x1))
p202791	0.00938	0.00244	0.01308	-0.00101	-0.02867	-0.01710	0.02257	0.01837	-0.02218	-0.00763	0.00076	-0.01491	0.00478	0.00437	-0.01884	0.04113	0.01304	0.01691	-0.00052	0.01300	-0.00911	-0.03143	-0.01677	-0.02222	-0.02004	-0.00053	-0.00270	-0.00853	0.00607	-0.01164	-0.03437	-0.01757	(And (Agent $e0 $x0) (Member $x0 editor) (Theme $e0 $x1))
p202792	0.05575	0.15054	0.07029	-0.01475	-0.11750	0.17461	-0.03547	-0.19823	-0.02296	0.14218	0.03443	-0.09612	-0.07129	0.01524	-0.01628	0.04232	0.12239	-0.01121	-0.02087	-0.09439	-0.06963	0.02436	0.22712	-0.06290	-0.03471	-0.10415	0.03166	0.17565	-0.09642	-0.08938	0.17347	-0.03123	(And (Agent $e0 $x0) (Member $x0 firm) (Theme $e0 $x1))
p202793	0.01053	0.00395	0.01581	-0.00140	-0.03144	-0.01933	0.02767	0.02381	-0.02398	-0.00779	-0.00166	-0.01702	0.00658	0.00464	-0.01989	0.03980	0.01296	0.02004	-0.00070	0.01601	-0.01018	-0.03437	-0.01659	-0.02393	-0.02194	0.00077	-0.00289	-0.01027	0.00679	-0.01343	-0.03837	-0.01806	(And (Agent $e0 $x0) (Member $x0 government) (Theme $e0 $x1))
p202794	-0.03584	0.21631	-0.12891	-0.06309	-0.07731	-0.09339	0.05839	0.07325	0.04210	-0.10014	0.14223	-0.01908	-0.21606	-0.06602	0.11082	-0.01723	0.14409	-0.01202	0.01608	-0.06101	0.12904	-0.08484	-0.05806	0.21759	0.20459	-0.00735	-0.00669	-0.09559	0.06837	0.11073	-0.00930	-0.03300	(And (Agent $e0 $x0) (Member $x0 intern) (Theme $e0 $x1))
p202795	-0.09973	0.09786	-0.00491	-0.02947	-0.10037	-0.09680	-0.01805	0.04754	0.18743	-0.03061	-0.01650	0.09865	-0.01587	0.19277	-0.04897	0.01623	-0.07502	0.08822	0.14627	0.04176	0.05310	-0.04238	-0.07223	0.08274	-0.06942	-0.06262	-0.14541	0.21859	-0.05769	-0.06514	-0.00465	-0.06573	(And (Agent $e0 $x0) (Member $x0 mechanic) (Past $e0))
p202796	-0.09973	0.09786	-0.00491	-0.02947	-0.10037	-0.09680	-0.01805	0.04754	0.18743	-0.03061	-0.01650	0.09865	-0.01587	0.19277	-0.04897	0.01623	-0.07502	0.08822	0.14627	0.04176	0.05310	-0.04238	-0.07223	0.08274	-0.06942	-0.06262	-0.14541	0.21860	-0.05769	-0.06513	-0.00465	-0.06573	(And (Agent $e0 $x0) (Member $x0 mechanic) (Patient $e0 $x1))
p202797	0.00934	0.00215	0.01283	-0.00105	-0.02827	-0.01673	0.02202	0.01752	-0.02191	-0.00777	0.00082	-0.01473	0.00457	0.00419	-0.01877	0.04126	0.01311	0.01657	-0.00047	0.01270	-0.00899	-0.03101	-0.01678	-0.02192	-0.01962	-0.00068	-0.00269	-0.00823	0.00592	-0.01138	-0.03378	-0.01745	(And (Agent $e0 $x0) (Member $x0 panel) (Theme $e0 $x1))
p202798	-0.00170	-0.00711	-0.00406	-0.00300	-0.03089	0.01713	0.03039	-0.02089	-0.02118	-0.00421	-0.01417	-0.01281	0.00388	0.01319	-0.03154	0.03156	0.01675	0.04889	0.00124	0.03089	0.01251	-0.04434	0.00121	-0.01751	-0.02070	-0.01942	0.05056	-0.02313	-0.00602	0.00018	-0.03736	-0.01162	(And (Agent $e0 $x0) (Member $x0 person) (Patient $e0 $x1))
p202799	-0.00899	0.00672	-0.00243	-0.00162	-0.01273	0.00632	0.01097	0.03536	-0.02114	-0.00299	-0.00661	-0.00481	-0.00179	0.01434	-0.00514	0.02694	0.01864	-0.00406	-0.00265	0.00832	0.02083	-0.03378	-0.02479	-0.01847	-0.02510	-0.00631	-0.00202	-0.00001	0.02675	-0.02343	-0.02683	-0.02514	(And (Agent $e0 $x0) (Member $x0 pilot) (Theme $e0 $x1))
p202800	0.01008	0.03402	0.03055	0.00406	-0.03714	0.00426	0.01340	-0.02179	-0.02466	-0.00233	0.00190	-0.02363	0.00313	0.00073	-0.02010	0.04261	0.01791	0.01828	-0.00032	0.00189	-0.01604	-0.01908	-0.00167	-0.02759	-0.02620	-0.01517	-0.00736	0.00786	0.00658	-0.02212	-0.01782	-0.01938	(And (Agent $e0 $x0) (Member $x0 rescue_team) (Theme $e0 $x1))
p202801	-0.08683	-0.01272	-0.03815	-0.00549	-0.04353	-0.05383	-0.00877	-0.01492	-0.02681	0.10529	0.08354	0.07231	-0.04664	0.12453	0.02081	-0.03439	-0.07030	-0.01395	-0.04507	-0.11005	0.05345	0.14623	-0.00697	-0.05460	-0.07835	-0.01477	0.07731	-0.00100	0.14758	0.06627	0.03625	-0.11186	(And (Agent $e0 $x0) (Member $x0 tutor) (Patient $e0 $x1))
p202802	-0.08683	-0.01272	-0.03815	-0.00549	-0.04353	-0.05383	-0.00877	-0.01492	-0.02681	0.10529	0.08354	0.07231	-0.04664	0.12453	0.02081	-0.03439	-0.07030	-0.01395	-0.04507	-0.11005	0.05345	0.14623	-0.00697	-0.05460	-0.07835	-0.01477	0.07731	-0.00100	0.14758	0.06627	0.03625	-0.11186	(And (Agent $e0 $x0) (Member $x1 afternoon_session) (Patient $e0 $x1))
